Dataset,Tissue,Cell Type,GENE,log2FC,P Value
Bharat A. (PBMC),Blood,B cells,CD37,0.569404233070466,0.0
Bharat A. (PBMC),Blood,B cells,CD3D,-0.341596631887097,0.0
Bharat A. (PBMC),Blood,B cells,CD3E,-0.391864250516599,0.0
Bharat A. (PBMC),Blood,B cells,CD3G,-0.296364973337247,0.0
Bharat A. (PBMC),Blood,B cells,CD74,0.61786655289191,0.0
Bharat A. (PBMC),Blood,B cells,CD79A,0.920294685322275,0.0
Bharat A. (PBMC),Blood,B cells,CD83,0.600150820676728,0.0
Bharat A. (PBMC),Blood,B cells,FCRLA,0.471878476220491,0.0
Bharat A. (PBMC),Blood,B cells,HLA-DPA1,0.488839969586544,0.0
Bharat A. (PBMC),Blood,B cells,HLA-DPB1,0.494230600335793,0.0
Bharat A. (PBMC),Blood,B cells,HLA-DQB1,0.536695308230371,0.0
Bharat A. (PBMC),Blood,B cells,HLA-DRA,0.555224351905101,0.0
Bharat A. (PBMC),Blood,B cells,IL7R,-0.338122137131491,0.0
Bharat A. (PBMC),Blood,B cells,MS4A1,0.794147948702019,0.0
Bharat A. (PBMC),Blood,B cells,IL32,-0.34977434031825,5.72142300075815e-307
Bharat A. (PBMC),Blood,B cells,EZR,0.447944066388396,6.26302843912346e-300
Bharat A. (PBMC),Blood,B cells,TOB1,-0.310552039372325,5.5388402566002e-280
Bharat A. (PBMC),Blood,B cells,SAMHD1,-0.291746906727964,9.07349800548353e-274
Bharat A. (PBMC),Blood,B cells,FYB1,-0.41440977212963,1.39463159630025e-273
Bharat A. (PBMC),Blood,B cells,LINC01781,0.653383468782793,1.83492259999749e-213
Bharat A. (PBMC),Blood,B cells,PAX5,0.463662033781748,2.38350380811973e-160
Bharat A. (PBMC),Blood,B cells,BANK1,0.67773070372917,3.46593646968065e-159
Bharat A. (PBMC),Blood,B cells,BLK,0.596263805800806,1.49419099389977e-144
Bharat A. (PBMC),Blood,B cells,PELI1,0.483609026486784,1.04814001264725e-134
Bharat A. (PBMC),Blood,B cells,CD19,0.471817246074572,1.42390785500901e-127
Bharat A. (PBMC),Blood,B cells,TMSB4X,-0.346419577225993,1.6805614385524e-120
Bharat A. (PBMC),Blood,B cells,ANXA1,-0.444117673154238,4.12049719851978e-115
Bharat A. (PBMC),Blood,B cells,LINC00926,0.634417016528052,2.99785660100114e-101
Bharat A. (PBMC),Blood,B cells,VIM,-0.340515560706196,9.23876339475142e-94
Bharat A. (PBMC),Blood,B cells,ARHGAP24,0.462421332083553,4.30902531236764e-83
Bharat A. (PBMC),Blood,B cells,IGHM,0.572299313160753,1.24715532213675e-80
Bharat A. (PBMC),Blood,B cells,RALGPS2,0.577397144982469,1.11885456083124e-74
Bharat A. (PBMC),Blood,B cells,RGS10,-0.285828515835018,2.51110012185665e-73
Bharat A. (PBMC),Blood,B cells,VPREB3,0.631626103598176,5.585602567182e-72
Bharat A. (PBMC),Blood,B cells,MEF2C,0.442903074545804,2.0810020982151e-70
Bharat A. (PBMC),Blood,B cells,MYL12A,-0.311745105014235,1.60762083238324e-58
Bharat A. (PBMC),Blood,B cells,DNAJB1,-0.317369249219335,1.41687541406087e-56
Bharat A. (PBMC),Blood,B cells,LEPROTL1,-0.347965153349011,5.83197242094664e-47
Bharat A. (PBMC),Blood,B cells,ACTG1,-0.295845836616349,3.30598583023377e-45
Bharat A. (PBMC),Blood,B cells,COBLL1,0.453172299444916,1.18616324427468e-36
Bharat A. (PBMC),Blood,B cells,CD40,0.43653376571212,4.14061602843158e-36
Bharat A. (PBMC),Blood,B cells,HCST,-0.405093305183128,3.77547508633544e-31
Bharat A. (PBMC),Blood,B cells,RGCC,-0.318024807677114,3.50788823430402e-15
Bharat A. (PBMC),Blood,B cells,NDUFS5,-0.281708804618964,1.33112852453529e-14
Bharat A. (PBMC),Blood,B cells,LDHA,-0.296484133735619,1.44228088810528e-12
Bharat A. (PBMC),Blood,B cells,LGALS1,-0.297145570426359,1.72422593979044e-10
Bharat A. (PBMC),Blood,B cells,S100A6,-0.358804587275413,6.59574099329626e-10
Bharat A. (PBMC),Blood,B cells,TNFRSF13C,0.497156816814497,2.70570785598418e-09
Bharat A. (PBMC),Blood,B cells,IFITM1,-0.296739664804756,3.75425122479732e-08
Bharat A. (PBMC),Blood,B cells,SRGN,-0.469673688797846,0.000142828251169387
Bharat A. (PBMC),Blood,B cells,S100A10,-0.361670149863489,0.000176578220782286
Bharat A. (PBMC),Blood,B cells,S100A4,-0.455318028607407,0.000321254266300766
Bharat A. (PBMC),Blood,Basophilic granulocytes,NMNAT3,-0.266359811816887,2.86277325638191e-62
Bharat A. (PBMC),Blood,Basophilic granulocytes,LAG3,0.342237513440954,1.35984538536783e-50
Bharat A. (PBMC),Blood,Basophilic granulocytes,LIME1,0.245095411893758,1.4552258606053e-48
Bharat A. (PBMC),Blood,Basophilic granulocytes,FCER1A,-0.294154567640621,3.13595348058829e-45
Bharat A. (PBMC),Blood,Basophilic granulocytes,CXCR3,0.48580472776399,6.17748925154849e-40
Bharat A. (PBMC),Blood,Basophilic granulocytes,CYTL1,-0.364904003575628,8.67618956472744e-40
Bharat A. (PBMC),Blood,Basophilic granulocytes,DTL,-0.815555488354259,4.13603054091705e-38
Bharat A. (PBMC),Blood,Basophilic granulocytes,CD3D,0.410754021461064,2.52188201563202e-37
Bharat A. (PBMC),Blood,Basophilic granulocytes,NDC80,-0.282232284170835,8.00086453682377e-35
Bharat A. (PBMC),Blood,Basophilic granulocytes,MCM2,-0.335737509645353,4.17453143243829e-28
Bharat A. (PBMC),Blood,Basophilic granulocytes,GATA1,-0.249905220086061,8.59862411512801e-28
Bharat A. (PBMC),Blood,Basophilic granulocytes,ORC1,-0.329757505258626,5.57258729013672e-27
Bharat A. (PBMC),Blood,Basophilic granulocytes,LCK,0.37780089062299,9.62831309470202e-25
Bharat A. (PBMC),Blood,Basophilic granulocytes,TK1,-0.549697299007587,1.93970585312107e-24
Bharat A. (PBMC),Blood,Basophilic granulocytes,SGO1,-0.389887560404126,1.19916575955849e-23
Bharat A. (PBMC),Blood,Basophilic granulocytes,CD27,0.263952772514922,1.95075897933477e-23
Bharat A. (PBMC),Blood,Basophilic granulocytes,TFR2,-0.344441063958422,1.30953038159639e-22
Bharat A. (PBMC),Blood,Basophilic granulocytes,GZMA,0.329019306478218,3.0852227653721e-22
Bharat A. (PBMC),Blood,Basophilic granulocytes,IL32,0.494702160061547,5.72906704873734e-22
Bharat A. (PBMC),Blood,Basophilic granulocytes,NPDC1,0.259840112345772,8.76801802687175e-22
Bharat A. (PBMC),Blood,Basophilic granulocytes,MEX3B,-0.261161279588639,9.92634010850486e-22
Bharat A. (PBMC),Blood,Basophilic granulocytes,LINC01943,0.258355025386416,3.04380486913804e-21
Bharat A. (PBMC),Blood,Basophilic granulocytes,CD3G,0.297196133509322,3.85254333977476e-21
Bharat A. (PBMC),Blood,Basophilic granulocytes,CLSPN,-0.369917581480835,1.05962138186802e-20
Bharat A. (PBMC),Blood,Basophilic granulocytes,GZMK,0.407382252233323,1.16353780089507e-20
Bharat A. (PBMC),Blood,Basophilic granulocytes,CD2,0.36486056814117,1.66851626392896e-20
Bharat A. (PBMC),Blood,Basophilic granulocytes,UCP2,0.245232821931854,3.26653518166403e-20
Bharat A. (PBMC),Blood,Basophilic granulocytes,CCL5,0.340649695509816,1.04514404129364e-19
Bharat A. (PBMC),Blood,Basophilic granulocytes,MSRB3,-0.255834340074472,4.3753527263677e-19
Bharat A. (PBMC),Blood,Basophilic granulocytes,CD3E,0.301610229522161,6.9270530774728e-19
Bharat A. (PBMC),Blood,Basophilic granulocytes,DUSP4,0.46924850551854,7.31462327110216e-19
Bharat A. (PBMC),Blood,Basophilic granulocytes,CLIC2,-0.345305172104636,1.54072178050564e-18
Bharat A. (PBMC),Blood,Basophilic granulocytes,CHEK1,-0.355193494852582,2.71349101325576e-18
Bharat A. (PBMC),Blood,Basophilic granulocytes,C12orf75,0.24102128568864,4.9691083518746e-18
Bharat A. (PBMC),Blood,Basophilic granulocytes,IDH2,0.265203113463967,5.58162777316053e-18
Bharat A. (PBMC),Blood,Basophilic granulocytes,DUSP2,0.238987092842963,7.46124928430518e-18
Bharat A. (PBMC),Blood,Basophilic granulocytes,NCAPH,-0.271341143636384,1.81449412875526e-17
Bharat A. (PBMC),Blood,Basophilic granulocytes,UNG,-0.248600989326869,1.91582457355691e-17
Bharat A. (PBMC),Blood,Basophilic granulocytes,LAT,0.303678160736454,3.38329970155085e-17
Bharat A. (PBMC),Blood,Basophilic granulocytes,TNFAIP3,0.230383896653538,5.6598593150567e-16
Bharat A. (PBMC),Blood,Basophilic granulocytes,FSCN1,-0.249108003922366,1.23775818156332e-15
Bharat A. (PBMC),Blood,Basophilic granulocytes,CENPW,-0.296517178492242,2.37034683449411e-15
Bharat A. (PBMC),Blood,Basophilic granulocytes,HSPA8,0.230021152618157,5.40357193236658e-15
Bharat A. (PBMC),Blood,Basophilic granulocytes,GCSH,-0.295030921399026,3.08972653768542e-14
Bharat A. (PBMC),Blood,Basophilic granulocytes,CDT1,-0.700416516005011,4.25939322367703e-14
Bharat A. (PBMC),Blood,Basophilic granulocytes,NUF2,-0.367996214937672,1.38461211360969e-13
Bharat A. (PBMC),Blood,Basophilic granulocytes,DCPS,0.324663193435845,2.88473440122055e-13
Bharat A. (PBMC),Blood,Basophilic granulocytes,PRDX1,0.277664657304566,7.86498208502551e-13
Bharat A. (PBMC),Blood,Basophilic granulocytes,CD8A,0.258532888607991,1.23854110947602e-12
Bharat A. (PBMC),Blood,Basophilic granulocytes,HIST1H2AJ,-0.316271909877623,2.44198686363021e-12
Bharat A. (PBMC),Blood,Basophilic granulocytes,CACYBP,0.235046695419054,5.00307312185681e-12
Bharat A. (PBMC),Blood,Basophilic granulocytes,CCDC167,0.355077240760027,8.05793593433551e-12
Bharat A. (PBMC),Blood,Basophilic granulocytes,SYNE2,0.235790803272407,8.97419873668163e-12
Bharat A. (PBMC),Blood,Basophilic granulocytes,ASRGL1,-0.250972447713978,1.96134151107836e-11
Bharat A. (PBMC),Blood,Basophilic granulocytes,ZWINT,-0.555235114988141,2.5639280869368e-11
Bharat A. (PBMC),Blood,Basophilic granulocytes,TOP2A,-0.312336604341701,3.01419436446129e-11
Bharat A. (PBMC),Blood,Basophilic granulocytes,PRSS57,-0.345746746073414,9.97386803063353e-11
Bharat A. (PBMC),Blood,Basophilic granulocytes,CENPU,-0.428859134179701,3.96819228429609e-10
Bharat A. (PBMC),Blood,Basophilic granulocytes,MDK,-0.247780222201657,4.39196070361149e-09
Bharat A. (PBMC),Blood,Basophilic granulocytes,ADA,0.364885375420807,4.56721073595671e-09
Bharat A. (PBMC),Blood,Basophilic granulocytes,SAC3D1,-0.264581782119906,9.22622657335049e-09
Bharat A. (PBMC),Blood,Basophilic granulocytes,GINS2,-0.324217118299873,1.43863388406742e-08
Bharat A. (PBMC),Blood,Basophilic granulocytes,HMGN2,0.24198924643635,2.14790007184353e-08
Bharat A. (PBMC),Blood,Basophilic granulocytes,SMIM10,-0.306333963543335,2.29564211053136e-08
Bharat A. (PBMC),Blood,Basophilic granulocytes,MYB,-0.247429433436247,2.74177467227606e-08
Bharat A. (PBMC),Blood,Basophilic granulocytes,CYTOR,0.231689049557151,7.93720970823826e-08
Bharat A. (PBMC),Blood,Basophilic granulocytes,TNFRSF9,0.375416596578175,4.17691117526461e-07
Bharat A. (PBMC),Blood,Basophilic granulocytes,CCL4,0.225550909984615,1.72762422711519e-06
Bharat A. (PBMC),Blood,Basophilic granulocytes,TRBC2,0.240118375069457,3.09939810187171e-06
