Dataset,Tissue,Cell Type,GENE,log2FC,P Value
Bost P. (Blood),Blood,B cells,RPS4Y1,-2.54577327541941,1.73771603356348e-127
Bost P. (Blood),Blood,B cells,XIST,2.58045859038822,1.75656128527951e-98
Bost P. (Blood),Blood,B cells,IGKC,13.2722741195129,2.13945033386662e-59
Bost P. (Blood),Blood,B cells,HLA-DRB5,4.232404095345,2.4475796888296e-35
Bost P. (Blood),Blood,B cells,MS4A1,6.89102360246578,2.82921451597384e-35
Bost P. (Blood),Blood,B cells,RP11-160E2.6,2.97819306101537,5.42430743454865e-32
Bost P. (Blood),Blood,B cells,TCL1A,5.26599895594414,1.24719868404387e-30
Bost P. (Blood),Blood,B cells,RPL13A,-1.87382719374343,2.71994344425733e-30
Bost P. (Blood),Blood,B cells,HLA-DQB1,4.26873789622237,1.02408588186486e-26
Bost P. (Blood),Blood,B cells,PMAIP1,-1.8065154260682,1.2152815311211e-25
Bost P. (Blood),Blood,B cells,RPS20,-1.78254786048168,4.7783927281348e-25
Bost P. (Blood),Blood,B cells,IGLC3,-10.8742588191861,7.45824456104271e-23
Bost P. (Blood),Blood,B cells,HLA-DQA1,4.42936030086406,9.04907457031165e-21
Bost P. (Blood),Blood,B cells,TCF4,-3.61185274414064,5.0161877341418e-17
Bost P. (Blood),Blood,B cells,BANK1,3.16167546554483,1.58765462822881e-14
Bost P. (Blood),Blood,B cells,IGHM,3.51852361218305,2.9593650237779e-14
Bost P. (Blood),Blood,B cells,ID3,-2.8347115216153,8.9621291034874e-11
Bost P. (Blood),Blood,B cells,FCRL5,-2.68052245462438,9.509903401671e-09
Bost P. (Blood),Blood,B cells,YBX3,-1.22270796657758,2.1872536812703e-08
Bost P. (Blood),Blood,B cells,FCER2,-2.04386381414777,7.2363552055889e-07
Bost P. (Blood),Blood,B cells,HLA-DRB1,-2.55335240040292,6.17105127533756e-06
Bost P. (Blood),Blood,B cells,IGLC2,2.70970654366356,0.00269054301644197
Bost P. (Blood),Blood,CD4+ T cells,RPS4Y1,-3.65433864584626,3.01600746072426e-172
Bost P. (Blood),Blood,CD4+ T cells,XIST,1.99883484431203,5.1921717042512e-115
Bost P. (Blood),Blood,CD4+ T cells,RPS10,2.49698289483109,1.92876760619068e-102
Bost P. (Blood),Blood,CD4+ T cells,IL32,4.69697178113814,2.3048655041015e-88
Bost P. (Blood),Blood,CD4+ T cells,TRAC,3.37594832300452,2.77970293180513e-79
Bost P. (Blood),Blood,CD4+ T cells,LTB,3.296060507729,5.11525069437081e-74
Bost P. (Blood),Blood,CD4+ T cells,RPS4X,2.93234495273918,5.87707901949836e-70
Bost P. (Blood),Blood,CD4+ T cells,RPL41,2.05159284143302,1.00188744084543e-69
Bost P. (Blood),Blood,CD4+ T cells,MT-CYB,-1.15640286610593,3.02366291222004e-67
Bost P. (Blood),Blood,CD4+ T cells,IL7R,4.96039953314204,9.42350942695698e-67
Bost P. (Blood),Blood,CD4+ T cells,TMSB10,1.74022582340134,6.0134453545626e-66
Bost P. (Blood),Blood,CD4+ T cells,CD52,2.5301251747607,1.6409872101095e-60
Bost P. (Blood),Blood,CD4+ T cells,TNFAIP3,-1.38583585630209,1.48536179260654e-54
Bost P. (Blood),Blood,CD4+ T cells,RPL36A,1.82114270839944,4.3072337297121e-40
Bost P. (Blood),Blood,CD4+ T cells,RPS26,-1.93573154815948,1.68897972049958e-34
Bost P. (Blood),Blood,CD4+ T cells,RPS20,-1.64975346181208,1.70398577962318e-34
Bost P. (Blood),Blood,CD4+ T cells,RUNX3,-1.1696589127875,7.83534806477228e-28
Bost P. (Blood),Blood,CD4+ T cells,CD69,2.04924314711627,5.33644924403655e-26
Bost P. (Blood),Blood,CD4+ T cells,TRBC1,2.51273442886948,2.72936060033325e-24
Bost P. (Blood),Blood,CD4+ T cells,RPL13A,-1.27755931878998,6.56755852327018e-24
Bost P. (Blood),Blood,CD4+ T cells,PIK3R1,-1.3051702181627,3.46029913159563e-23
Bost P. (Blood),Blood,CD4+ T cells,ZFP36L2,-1.23957679886872,4.19578533896905e-19
Bost P. (Blood),Blood,CD4+ T cells,ZNF331,-1.14820508357734,1.13689397134046e-18
Bost P. (Blood),Blood,CD4+ T cells,NR4A2,-1.17325414986366,2.62423852819179e-17
Bost P. (Blood),Blood,CD4+ T cells,DUSP2,-1.15414565951896,8.81233449842712e-06
Bost P. (Blood),Blood,CD4+ T cells,KLRB1,-0.922818162693104,0.00649310116754971
Bost P. (Blood),Blood,Erythrocytes,AHSP,7.21987514145132,5.18582093324377e-72
Bost P. (Blood),Blood,Erythrocytes,ALAS2,8.60503861808014,4.99097769870109e-71
Bost P. (Blood),Blood,Erythrocytes,RPS27,-3.13210878642805,4.05334098242422e-68
Bost P. (Blood),Blood,Erythrocytes,CA1,7.09470350892567,1.20087778937994e-67
Bost P. (Blood),Blood,Erythrocytes,HBD,7.23613585214718,1.35230136433331e-61
Bost P. (Blood),Blood,Erythrocytes,RPL10,-2.21010062922909,2.36520322689934e-59
Bost P. (Blood),Blood,Erythrocytes,EEF1A1,-2.18408904482676,9.95475227357253e-58
Bost P. (Blood),Blood,Erythrocytes,CXCL8,-3.32823382062871,1.60163278343337e-46
Bost P. (Blood),Blood,Erythrocytes,GNLY,-4.33799851850507,1.12118807883342e-43
Bost P. (Blood),Blood,Erythrocytes,HBA1,5.91741441997988,1.2848368148559e-16
Bost P. (Blood),Blood,Megakaryocyte progenitor cells,CXCL8,-3.90755434146648,1.83145226201804e-65
Bost P. (Blood),Blood,Megakaryocyte progenitor cells,AP006222.2,-3.76402642365498,1.21736863373189e-27
Bost P. (Blood),Blood,Megakaryocyte progenitor cells,HBG2,4.2680668375687,4.00657968825849e-27
Bost P. (Blood),Blood,Megakaryocyte progenitor cells,CCL5,-3.29778799615068,1.34248732989019e-26
Bost P. (Blood),Blood,Megakaryocyte progenitor cells,PDZK1IP1,-3.2958435690097,1.44718722318843e-20
Bost P. (Blood),Blood,Megakaryocyte progenitor cells,MAP3K7CL,-5.08582254837439,3.18622477236578e-20
Bost P. (Blood),Blood,Megakaryocyte progenitor cells,SDPR,-5.61731442186145,1.08170369990101e-14
Bost P. (Blood),Blood,Megakaryocyte progenitor cells,CXCL5,-2.94266044486415,2.99759160226693e-11
Bost P. (Blood),Blood,Megakaryocyte progenitor cells,ENKUR,-2.87026930129875,2.10403346677768e-10
Bost P. (Blood),Blood,Megakaryocyte progenitor cells,MYL9,3.76088665716138,4.7671551712993e-09
Bost P. (Blood),Blood,Megakaryocyte progenitor cells,YWHAH,2.02177240033824,8.9660089229405e-09
Bost P. (Blood),Blood,Megakaryocyte progenitor cells,C19orf33,-2.7560055261571,2.10977403824214e-08
Bost P. (Blood),Blood,Megakaryocyte progenitor cells,TUBB1,-3.42091271931066,1.89220824241774e-06
Bost P. (Blood),Blood,Megakaryocyte progenitor cells,GNG11,-2.84481861618169,2.22363518156635e-05
Bost P. (Blood),Blood,Megakaryocyte progenitor cells,MMRN1,1.61690121416887,0.000124029348224963
Bost P. (Blood),Blood,Megakaryocyte progenitor cells,ITGA2B,2.49754864587821,0.000170680804038782
Bost P. (Blood),Blood,Megakaryocyte progenitor cells,NGFRAP1,1.49833989954308,0.00247460036150354
Bost P. (Blood),Blood,Megakaryocyte progenitor cells,PF4V1,1.51217439629983,0.00398388878521512
Bost P. (Blood),Blood,Megakaryocyte progenitor cells,CD9,1.48188130038349,0.00489742344211649
Bost P. (Blood),Blood,Megakaryocyte progenitor cells,RP11-367G6.3,1.50327868127138,0.00811602879347243
Bost P. (Blood),Blood,Megakaryocyte progenitor cells,CMTM5,1.46986688380088,0.040537436201989
Bost P. (Blood),Blood,Monocytes,RPL23,-2.9842775499735,1.8718686862482e-307
Bost P. (Blood),Blood,Monocytes,EEF1A1,-3.78636202904337,1.20492779774053e-274
Bost P. (Blood),Blood,Monocytes,MT-CO1,-3.5706165431145,1.50622767182197e-259
Bost P. (Blood),Blood,Monocytes,RPLP1,-3.06583366005349,1.36986013431323e-243
Bost P. (Blood),Blood,Monocytes,CST3,-7.05372764188893,4.77394615969943e-240
Bost P. (Blood),Blood,Monocytes,RPS8,-2.94499421603218,4.2453213082493e-237
Bost P. (Blood),Blood,Monocytes,CDKN1A,-3.75831299437479,5.98166885671346e-236
Bost P. (Blood),Blood,Monocytes,HLA-DRA,-9.33579501831702,2.9294638249048e-229
Bost P. (Blood),Blood,Monocytes,RPL7,-2.65971404369971,7.28189068959839e-229
Bost P. (Blood),Blood,Monocytes,CD74,-4.90940743347036,7.54048549493179e-209
Bost P. (Blood),Blood,Monocytes,HLA-DRB1,-4.75403656389308,3.48106921854904e-202
Bost P. (Blood),Blood,Monocytes,HBEGF,-2.86720187136715,1.8798202331529e-185
Bost P. (Blood),Blood,Monocytes,CPVL,-3.17327949920027,1.78805541887433e-183
Bost P. (Blood),Blood,Monocytes,HLA-DPA1,-4.18248618415314,1.75958742543351e-167
Bost P. (Blood),Blood,Monocytes,HLA-DPB1,-2.80016908272664,3.62376311567542e-159
Bost P. (Blood),Blood,Monocytes,LYZ,-7.27778206482839,7.74762670164664e-148
Bost P. (Blood),Blood,Monocytes,S100A10,-2.86910097279532,2.45775755671939e-120
