Dataset,Tissue,Cell Type,GENE,log2FC,P Value
Chen S. (Pancreatic islets),Pancreas,Acinar cells,REG3A,5.05466986393505,1.60128220742525e-93
Chen S. (Pancreatic islets),Pancreas,Acinar cells,CELA3A,-6.05121682468758,4.53296351506017e-79
Chen S. (Pancreatic islets),Pancreas,Acinar cells,CELA3B,-5.47904372449725,4.20527715467606e-78
Chen S. (Pancreatic islets),Pancreas,Acinar cells,MX1,0.849268381063721,3.88509237298966e-77
Chen S. (Pancreatic islets),Pancreas,Acinar cells,ISG15,1.41391668243355,1.81579788452717e-76
Chen S. (Pancreatic islets),Pancreas,Acinar cells,RPS4Y1,0.952853767905816,3.43382040337523e-69
Chen S. (Pancreatic islets),Pancreas,Acinar cells,CLPS,-5.88829815864862,1.4592419580141e-66
Chen S. (Pancreatic islets),Pancreas,Acinar cells,TMSB4X,0.951815206057912,1.24034995562162e-65
Chen S. (Pancreatic islets),Pancreas,Acinar cells,IFITM3,0.859028020252685,1.22511520922382e-64
Chen S. (Pancreatic islets),Pancreas,Acinar cells,MT-ND3,0.669856589951385,5.24131037460349e-55
Chen S. (Pancreatic islets),Pancreas,Acinar cells,LGALS2,2.29676905554484,5.64517905381303e-53
Chen S. (Pancreatic islets),Pancreas,Acinar cells,IL32,2.27208575264853,1.6297789133763e-45
Chen S. (Pancreatic islets),Pancreas,Acinar cells,ALB,2.48096405928228,9.60984184314573e-45
Chen S. (Pancreatic islets),Pancreas,Acinar cells,FGL1,1.17564210382601,4.77764761688265e-44
Chen S. (Pancreatic islets),Pancreas,Acinar cells,SPINK1,2.07819559381696,1.82246084542059e-43
Chen S. (Pancreatic islets),Pancreas,Acinar cells,CD24,0.738384800389159,8.53603096742755e-43
Chen S. (Pancreatic islets),Pancreas,Acinar cells,GSTA1,1.48606098395709,8.26799470507779e-40
Chen S. (Pancreatic islets),Pancreas,Acinar cells,SPP1,0.685583975524672,1.44913939426235e-38
Chen S. (Pancreatic islets),Pancreas,Acinar cells,LYZ,1.36926808915901,3.4713267192325e-38
Chen S. (Pancreatic islets),Pancreas,Acinar cells,GSTA2,0.731196491905328,6.92561347150188e-35
Chen S. (Pancreatic islets),Pancreas,Acinar cells,IAPP,-0.567628524860714,2.32562492236174e-34
Chen S. (Pancreatic islets),Pancreas,Acinar cells,SERPINA3,0.790916603568701,4.86036604203351e-34
Chen S. (Pancreatic islets),Pancreas,Acinar cells,CTRB2,-2.79745705147993,3.13265216563623e-33
Chen S. (Pancreatic islets),Pancreas,Acinar cells,GPX2,0.734820249779304,3.31402268956002e-33
Chen S. (Pancreatic islets),Pancreas,Acinar cells,RARRES2,1.203205490242,3.17427510730961e-32
Chen S. (Pancreatic islets),Pancreas,Acinar cells,GP2,-1.88233916028253,4.55510397547136e-31
Chen S. (Pancreatic islets),Pancreas,Acinar cells,CELA2A,-3.11863495348562,9.55082572681623e-31
Chen S. (Pancreatic islets),Pancreas,Acinar cells,ZFP36L1,0.680323262983656,1.28555940522259e-29
Chen S. (Pancreatic islets),Pancreas,Acinar cells,ANPEP,1.16160252982622,2.99524931950029e-29
Chen S. (Pancreatic islets),Pancreas,Acinar cells,FGG,1.2589685587723,7.50533550650005e-29
Chen S. (Pancreatic islets),Pancreas,Acinar cells,C15orf48,1.49884456495173,1.03673476199774e-28
Chen S. (Pancreatic islets),Pancreas,Acinar cells,ALDOB,1.3721845814156,3.38395660940799e-28
Chen S. (Pancreatic islets),Pancreas,Acinar cells,VTN,0.969441980319814,5.39523015101958e-28
Chen S. (Pancreatic islets),Pancreas,Acinar cells,GATM,0.880463727402043,3.41537651945754e-27
Chen S. (Pancreatic islets),Pancreas,Acinar cells,C3,1.18529437037309,7.40586908696237e-26
Chen S. (Pancreatic islets),Pancreas,Acinar cells,SYCN,-2.65000993945098,1.36246022828429e-25
Chen S. (Pancreatic islets),Pancreas,Acinar cells,CPA1,-2.6522248979479,2.4445162390942e-24
Chen S. (Pancreatic islets),Pancreas,Acinar cells,TMEM97,0.768596002146195,2.84379100766453e-24
Chen S. (Pancreatic islets),Pancreas,Acinar cells,SDC4,0.723453232071174,3.72193221511051e-24
Chen S. (Pancreatic islets),Pancreas,Acinar cells,CTRC,-2.14340716393575,7.64776671875027e-24
Chen S. (Pancreatic islets),Pancreas,Acinar cells,REG3G,1.07141352493887,8.32782336447665e-24
Chen S. (Pancreatic islets),Pancreas,Acinar cells,SLPI,-0.854908925842233,1.21368343607681e-22
Chen S. (Pancreatic islets),Pancreas,Acinar cells,OLFM4,1.66618509545683,6.48936402688107e-22
Chen S. (Pancreatic islets),Pancreas,Acinar cells,PI3,-0.782827668974172,1.05020681612912e-21
Chen S. (Pancreatic islets),Pancreas,Acinar cells,G0S2,-1.78882255032695,1.10188718966126e-21
Chen S. (Pancreatic islets),Pancreas,Acinar cells,VIM,0.74015772251624,2.08369126605041e-19
Chen S. (Pancreatic islets),Pancreas,Acinar cells,MTRNR2L12,-0.786660799058847,3.86266933879879e-19
Chen S. (Pancreatic islets),Pancreas,Acinar cells,MT2A,-1.44104055493436,1.6177474387516e-17
Chen S. (Pancreatic islets),Pancreas,Acinar cells,CXCL2,0.6468171905266,1.4427196123584e-16
Chen S. (Pancreatic islets),Pancreas,Acinar cells,CEL,-0.493650689859181,3.38465755801129e-15
Chen S. (Pancreatic islets),Pancreas,Acinar cells,S100A9,-0.479170190856265,1.45186268099461e-14
Chen S. (Pancreatic islets),Pancreas,Acinar cells,AMY2A,-1.23277821897521,1.49357952983675e-14
Chen S. (Pancreatic islets),Pancreas,Acinar cells,CPA2,-1.25485470306085,1.78494266533368e-13
Chen S. (Pancreatic islets),Pancreas,Acinar cells,KLK1,-1.05576047013064,3.01789141839296e-13
Chen S. (Pancreatic islets),Pancreas,Acinar cells,AL138963.3,-0.544423574241331,9.38622028385242e-12
Chen S. (Pancreatic islets),Pancreas,Acinar cells,AGTRAP,-0.41004898414015,2.17978618347966e-11
Chen S. (Pancreatic islets),Pancreas,Acinar cells,PLA2G1B,-1.50824342649035,2.19653783991406e-10
Chen S. (Pancreatic islets),Pancreas,Acinar cells,CELA2B,-1.01120377390934,3.24510490585722e-10
Chen S. (Pancreatic islets),Pancreas,Acinar cells,RNASE1,0.627117838126089,1.79212142272965e-09
Chen S. (Pancreatic islets),Pancreas,Acinar cells,RHCG,-0.789750408277738,5.42635126242662e-09
Chen S. (Pancreatic islets),Pancreas,Acinar cells,REG1B,-0.667130630470115,6.47969406257263e-09
Chen S. (Pancreatic islets),Pancreas,Acinar cells,CRYAB,-0.696802453882603,1.14170994484734e-08
Chen S. (Pancreatic islets),Pancreas,Acinar cells,MT1E,-0.698545197483695,2.34472470597029e-07
Chen S. (Pancreatic islets),Pancreas,Acinar cells,PRSS1,-1.29246034903353,3.42675398496467e-07
Chen S. (Pancreatic islets),Pancreas,Acinar cells,HSPB1,-0.427593636595606,4.50460337342173e-07
Chen S. (Pancreatic islets),Pancreas,Acinar cells,AADAC,-0.364000347078313,6.18158927222376e-07
Chen S. (Pancreatic islets),Pancreas,Acinar cells,TTN,-0.470758805204505,6.94317517957193e-07
Chen S. (Pancreatic islets),Pancreas,Acinar cells,CTRL,-0.574727749772374,1.68168447383101e-06
Chen S. (Pancreatic islets),Pancreas,Acinar cells,MT1G,-0.508681489468634,9.34068027995648e-06
Chen S. (Pancreatic islets),Pancreas,Acinar cells,MT1X,-0.725762246022818,1.09926194656345e-05
Chen S. (Pancreatic islets),Pancreas,Acinar cells,MT-ND4,-0.390923164304227,0.000187806351753852
Chen S. (Pancreatic islets),Pancreas,Acinar cells,PNLIPRP1,-0.512977357100029,0.000340156724201763
Chen S. (Pancreatic islets),Pancreas,Acinar cells,DUOXA2,0.712917369126005,0.00120148783873973
Chen S. (Pancreatic islets),Pancreas,Alpha cells,MX1,0.594976691008451,3.02601539597901e-94
