Dataset,Tissue,Cell Type,GENE,log2FC,P Value
Delorey TM. (Airway),Airway,Alveolar pneumocytes,EEF1A1,-0.95986821697421,0.0
Delorey TM. (Airway),Airway,Alveolar pneumocytes,TPT1,-0.836277422761924,0.0
Delorey TM. (Airway),Airway,Alveolar pneumocytes,RPS9,-1.04049771940204,2.85795656573375e-279
Delorey TM. (Airway),Airway,Alveolar pneumocytes,RPL28,-0.782747560924182,8.46019036655535e-241
Delorey TM. (Airway),Airway,Alveolar pneumocytes,RPS8,-1.09933600849603,8.05093647675659e-221
Delorey TM. (Airway),Airway,Alveolar pneumocytes,RPS23,-1.0409216247612,8.30286372853409e-221
Delorey TM. (Airway),Airway,Alveolar pneumocytes,RPL14,-0.792632975930166,3.24839369958152e-207
Delorey TM. (Airway),Airway,Alveolar pneumocytes,PLCXD2,1.55620231875869,7.80157611223839e-193
Delorey TM. (Airway),Airway,Alveolar pneumocytes,RPL36,-0.866429385458244,9.67387047593762e-193
Delorey TM. (Airway),Airway,Alveolar pneumocytes,CCDC190,-0.9761520238652,5.03316531180213e-191
Delorey TM. (Airway),Airway,Alveolar pneumocytes,RPS2,-1.30562798891881,2.32366954900947e-188
Delorey TM. (Airway),Airway,Alveolar pneumocytes,EDN1,1.49346608120978,3.84494506801223e-172
Delorey TM. (Airway),Airway,Alveolar pneumocytes,LAMC2,1.44400998440466,1.26766576916153e-171
Delorey TM. (Airway),Airway,Alveolar pneumocytes,NPC2,-1.65517264743189,3.91481968684817e-169
Delorey TM. (Airway),Airway,Alveolar pneumocytes,SCNN1B,1.64108119555107,8.10427257432687e-167
Delorey TM. (Airway),Airway,Alveolar pneumocytes,SFTPC,-1.27211030473323,1.28939832278507e-161
Delorey TM. (Airway),Airway,Alveolar pneumocytes,MS4A15,2.0008000938105,1.33542742823261e-161
Delorey TM. (Airway),Airway,Alveolar pneumocytes,SFTPA1,-1.23955143403036,3.76890594885877e-160
Delorey TM. (Airway),Airway,Alveolar pneumocytes,RPL35A,-1.22226101017879,8.09436652455161e-151
Delorey TM. (Airway),Airway,Alveolar pneumocytes,SFTPA2,-1.1662213123387,4.74846805019312e-144
Delorey TM. (Airway),Airway,Alveolar pneumocytes,SOX4,1.5694665843687,9.88845405537542e-142
Delorey TM. (Airway),Airway,Alveolar pneumocytes,IL32,1.43441041722167,2.08278106954427e-141
Delorey TM. (Airway),Airway,Alveolar pneumocytes,MYRF,1.46880202988912,2.1859911101244e-140
Delorey TM. (Airway),Airway,Alveolar pneumocytes,LAMB3,2.24030789238809,1.59171481791005e-136
Delorey TM. (Airway),Airway,Alveolar pneumocytes,FSTL3,1.71851612341871,1.67910076946792e-135
Delorey TM. (Airway),Airway,Alveolar pneumocytes,SPOCK2,2.31598889780693,2.33386533564854e-133
Delorey TM. (Airway),Airway,Alveolar pneumocytes,NTM,2.67793810074742,1.09162174564021e-130
Delorey TM. (Airway),Airway,Alveolar pneumocytes,GAS6,1.51034445860055,1.74739227053152e-127
Delorey TM. (Airway),Airway,Alveolar pneumocytes,SLPI,-1.30011832387121,4.88305891358069e-127
Delorey TM. (Airway),Airway,Alveolar pneumocytes,TACSTD2,2.17650196835636,1.91166320938703e-120
Delorey TM. (Airway),Airway,Alveolar pneumocytes,KRT19,2.12676816211566,2.09668016192889e-120
Delorey TM. (Airway),Airway,Alveolar pneumocytes,SCD,-1.02561501792248,7.46067654758014e-119
Delorey TM. (Airway),Airway,Alveolar pneumocytes,ACTB,1.46401232208259,2.06432455103388e-116
Delorey TM. (Airway),Airway,Alveolar pneumocytes,SEMA3B,2.28842456707548,4.23500812795212e-115
Delorey TM. (Airway),Airway,Alveolar pneumocytes,CEACAM6,2.72721667349006,7.38414250781889e-114
Delorey TM. (Airway),Airway,Alveolar pneumocytes,AGER,2.7666791959053,1.03943895820742e-112
Delorey TM. (Airway),Airway,Alveolar pneumocytes,WFS1,2.26248164783581,3.48574123911107e-112
Delorey TM. (Airway),Airway,Alveolar pneumocytes,CTSH,-1.02848049519996,8.16712121362516e-111
Delorey TM. (Airway),Airway,Alveolar pneumocytes,RTKN2,2.42786064564839,1.41114147872673e-110
Delorey TM. (Airway),Airway,Alveolar pneumocytes,ANXA3,2.27220482780713,3.23871043946872e-108
Delorey TM. (Airway),Airway,Alveolar pneumocytes,TSPAN13,1.8567627976213,4.74006778054365e-108
Delorey TM. (Airway),Airway,Alveolar pneumocytes,LRRK2,-0.838208229417003,9.15005135191723e-106
Delorey TM. (Airway),Airway,Alveolar pneumocytes,CAV1,2.32358619597536,8.87415807088368e-105
Delorey TM. (Airway),Airway,Alveolar pneumocytes,ZNF385B,-0.793194225337178,2.04469904423523e-104
Delorey TM. (Airway),Airway,Alveolar pneumocytes,GJA1,1.84493006464362,2.29522802978492e-102
Delorey TM. (Airway),Airway,Alveolar pneumocytes,LAMP3,-1.0644618620619,2.40735583506087e-102
Delorey TM. (Airway),Airway,Alveolar pneumocytes,ACTG1,1.38298951539164,3.02294442789077e-101
Delorey TM. (Airway),Airway,Alveolar pneumocytes,ANKRD1,1.52268789422372,4.08889572735077e-101
Delorey TM. (Airway),Airway,Alveolar pneumocytes,LDHB,-1.02806241633348,2.34379131250983e-100
Delorey TM. (Airway),Airway,Alveolar pneumocytes,ABCA7,2.06413190786738,1.2080047182894e-98
Delorey TM. (Airway),Airway,Alveolar pneumocytes,S100A10,1.63490016511416,1.42918976467849e-98
Delorey TM. (Airway),Airway,Alveolar pneumocytes,EMP2,1.5069603404112,1.23857730886818e-96
Delorey TM. (Airway),Airway,Alveolar pneumocytes,PGC,-1.15266271555274,1.39293968434265e-96
Delorey TM. (Airway),Airway,Alveolar pneumocytes,CXCL17,-1.19853003805892,1.84284459246242e-95
Delorey TM. (Airway),Airway,Alveolar pneumocytes,SCEL,2.45119689295847,1.87492389742929e-94
Delorey TM. (Airway),Airway,Alveolar pneumocytes,MGST1,-1.05172557086024,1.31174986951164e-93
Delorey TM. (Airway),Airway,Alveolar pneumocytes,FGGY,-1.22414174415105,2.03226895232848e-92
Delorey TM. (Airway),Airway,Alveolar pneumocytes,ANXA2,1.38933600574509,5.2312051204857e-92
Delorey TM. (Airway),Airway,Alveolar pneumocytes,CD55,1.68918258539805,1.30247163098701e-91
Delorey TM. (Airway),Airway,Alveolar pneumocytes,KRT7,2.15629359767148,2.02429137219512e-91
Delorey TM. (Airway),Airway,Alveolar pneumocytes,GPRC5A,1.9079098581645,1.65502904963115e-84
Delorey TM. (Airway),Airway,Alveolar pneumocytes,ICAM1,1.57810409608861,3.93312304255207e-82
Delorey TM. (Airway),Airway,Alveolar pneumocytes,PIGR,-1.05183686464712,2.60106151240152e-81
Delorey TM. (Airway),Airway,Alveolar pneumocytes,RPS27,-1.39153173164508,1.71242541218381e-80
Delorey TM. (Airway),Airway,Alveolar pneumocytes,CAV2,1.96740445970095,2.35958968189126e-77
Delorey TM. (Airway),Airway,Alveolar pneumocytes,FOS,-1.07302302619666,5.02744640627879e-74
Delorey TM. (Airway),Airway,Alveolar pneumocytes,RPLP0,-0.782023068789434,8.96239691136631e-72
Delorey TM. (Airway),Airway,Alveolar pneumocytes,SDC1,1.58113315876891,2.82986954962716e-71
Delorey TM. (Airway),Airway,Alveolar pneumocytes,RAB11FIP1,1.83291370241947,7.06241502281984e-71
Delorey TM. (Airway),Airway,Alveolar pneumocytes,HHIP,-0.874880720508179,2.13745772458633e-70
Delorey TM. (Airway),Airway,Alveolar pneumocytes,MYO1B,1.3405781443897,1.07308195084828e-66
Delorey TM. (Airway),Airway,Alveolar pneumocytes,CCND1,1.52566610461565,6.27115920083389e-63
Delorey TM. (Airway),Airway,Alveolar pneumocytes,MFSD2A,-0.953672501256765,3.88343491560746e-61
Delorey TM. (Airway),Airway,Alveolar pneumocytes,RPS4X,-1.6013348824589,1.49986592120779e-58
Delorey TM. (Airway),Airway,Alveolar pneumocytes,IRX3,-0.82266148393103,9.74172725095206e-55
