Dataset,Tissue,Cell Type,GENE,log2FC,P Value
Delorey TM. (Heart),Heart,Cardiomyocytes,CHL1,-0.135888156846265,0.0
Delorey TM. (Heart),Heart,Cardiomyocytes,CKB,-0.159505538133224,0.0
Delorey TM. (Heart),Heart,Cardiomyocytes,CLU,-0.161356997138906,0.0
Delorey TM. (Heart),Heart,Cardiomyocytes,DSP,-0.171363407238242,0.0
Delorey TM. (Heart),Heart,Cardiomyocytes,EEF1A2,-0.366342419415205,0.0
Delorey TM. (Heart),Heart,Cardiomyocytes,ENDOG,-0.113537974334095,0.0
Delorey TM. (Heart),Heart,Cardiomyocytes,FGF12,0.235668025065124,0.0
Delorey TM. (Heart),Heart,Cardiomyocytes,HIST2H2BE,-0.115930703032948,0.0
Delorey TM. (Heart),Heart,Cardiomyocytes,HNRNPH2,-0.135974138280964,0.0
Delorey TM. (Heart),Heart,Cardiomyocytes,HSPB6,-0.443086092783279,0.0
Delorey TM. (Heart),Heart,Cardiomyocytes,IER3,-0.144090186649571,0.0
Delorey TM. (Heart),Heart,Cardiomyocytes,KIF1C,-0.224797223189932,0.0
Delorey TM. (Heart),Heart,Cardiomyocytes,MAP1A,-0.162418418573737,0.0
Delorey TM. (Heart),Heart,Cardiomyocytes,MB,-0.384222451626638,0.0
Delorey TM. (Heart),Heart,Cardiomyocytes,MRPL41,-0.266659633641563,0.0
Delorey TM. (Heart),Heart,Cardiomyocytes,MT-ATP6,-0.370956598741185,0.0
Delorey TM. (Heart),Heart,Cardiomyocytes,MT-CO2,-0.404456568664137,0.0
Delorey TM. (Heart),Heart,Cardiomyocytes,MT-CO3,-0.317062056737098,0.0
Delorey TM. (Heart),Heart,Cardiomyocytes,MT-CYB,-0.25625543534075,0.0
Delorey TM. (Heart),Heart,Cardiomyocytes,MT-ND1,-0.339737447236476,0.0
Delorey TM. (Heart),Heart,Cardiomyocytes,MT-ND2,-0.392367575776529,0.0
Delorey TM. (Heart),Heart,Cardiomyocytes,MT-ND4,-0.399535544085615,0.0
Delorey TM. (Heart),Heart,Cardiomyocytes,MT2A,-0.265383136991126,0.0
Delorey TM. (Heart),Heart,Cardiomyocytes,NFE2L1,-0.28517807193855,0.0
Delorey TM. (Heart),Heart,Cardiomyocytes,OTUD1,-0.185327816551672,0.0
Delorey TM. (Heart),Heart,Cardiomyocytes,PCDH7,0.257639130544425,0.0
Delorey TM. (Heart),Heart,Cardiomyocytes,ROR1-AS1,0.256439853110096,0.0
Delorey TM. (Heart),Heart,Cardiomyocytes,S100A1,-0.333456848131961,0.0
Delorey TM. (Heart),Heart,Cardiomyocytes,SHISA4,-0.138592780201285,0.0
Delorey TM. (Heart),Heart,Cardiomyocytes,SLC25A4,-0.246629371792644,0.0
Delorey TM. (Heart),Heart,Cardiomyocytes,TCAP,-0.394146327157775,0.0
Delorey TM. (Heart),Heart,Cardiomyocytes,XIRP1,-0.181409936920875,0.0
Delorey TM. (Heart),Heart,Cardiomyocytes,ZBTB47,-0.244848849658929,0.0
Delorey TM. (Heart),Heart,Cardiomyocytes,ZNF358,-0.173482166543287,0.0
Delorey TM. (Heart),Heart,Cardiomyocytes,RPL13,-0.194734349832084,1.15e-321
Delorey TM. (Heart),Heart,Cardiomyocytes,LMOD2,0.314276723331862,6.04540187312491e-294
Delorey TM. (Heart),Heart,Cardiomyocytes,CHPF,-0.12079371102536,3.73859473023783e-293
Delorey TM. (Heart),Heart,Cardiomyocytes,RPL29,-0.16390256707585,2.20121404591473e-288
Delorey TM. (Heart),Heart,Cardiomyocytes,DDX60L,0.24229278388027,9.51219425878229e-276
Delorey TM. (Heart),Heart,Cardiomyocytes,TNNC1,-0.269067111402846,5.22931583968866e-275
Delorey TM. (Heart),Heart,Cardiomyocytes,DMD,0.295822700331746,2.5388424769157e-266
