Dataset,Tissue,Cell Type,GENE,log2FC,P Value
Delorey TM. (Kidney),Kidney,B cells,GBP4,-0.314642056269327,1.71495282355696e-274
Delorey TM. (Kidney),Kidney,B cells,C15orf48,-0.307414102000886,8.70197003671891e-138
Delorey TM. (Kidney),Kidney,B cells,LTB,-0.335733121484154,2.95446320089987e-127
Delorey TM. (Kidney),Kidney,B cells,SIRPB2,-0.407228384695246,6.41566654265661e-96
Delorey TM. (Kidney),Kidney,B cells,AC019197.1,-0.316873686697489,1.50199457318981e-93
Delorey TM. (Kidney),Kidney,B cells,HBA1,-0.558305039744992,1.07818492405888e-86
Delorey TM. (Kidney),Kidney,B cells,FCRL5,-0.296998559020076,1.06485401692983e-84
Delorey TM. (Kidney),Kidney,B cells,TCIM,-0.304106387367793,5.57081011990885e-82
Delorey TM. (Kidney),Kidney,B cells,CD163,-0.321140937992736,1.19213961121218e-79
Delorey TM. (Kidney),Kidney,B cells,EEF1A1,-0.408387659146626,4.28198133586412e-79
Delorey TM. (Kidney),Kidney,B cells,AKR1C1,-0.355253016559898,8.57692637123253e-76
Delorey TM. (Kidney),Kidney,B cells,PRDM1,-0.330803496577663,1.4788361172291e-74
Delorey TM. (Kidney),Kidney,B cells,CENPF,-0.354521786136155,8.40501098578715e-62
Delorey TM. (Kidney),Kidney,B cells,MT-ND5,-0.735925984522377,5.26230357697974e-61
Delorey TM. (Kidney),Kidney,B cells,MT-ND1,-0.818944301275964,2.0864842412187e-59
Delorey TM. (Kidney),Kidney,B cells,MT-ND2,-0.637703033936159,9.84057193414122e-56
Delorey TM. (Kidney),Kidney,B cells,MT-CYB,-0.421794490778182,1.57191152766975e-53
Delorey TM. (Kidney),Kidney,B cells,UGT1A8,0.417130281080829,1.25926042577175e-48
Delorey TM. (Kidney),Kidney,B cells,EPHA6,0.449906143511767,8.5716510299923e-46
Delorey TM. (Kidney),Kidney,B cells,GRID2,0.595010210369971,4.39894846834085e-44
Delorey TM. (Kidney),Kidney,B cells,MT-ND3,-0.80484248475612,4.54388045233759e-42
Delorey TM. (Kidney),Kidney,B cells,CCDC26,0.445971569539624,3.38191494502592e-41
Delorey TM. (Kidney),Kidney,B cells,BICC1,-0.326750078630695,6.59542454965576e-41
Delorey TM. (Kidney),Kidney,B cells,MT-ATP6,-0.56529859938005,2.74660436799374e-40
Delorey TM. (Kidney),Kidney,B cells,CTNNA3,0.535627020716357,8.10922546362516e-40
Delorey TM. (Kidney),Kidney,B cells,TMEM132D,0.402877103868632,1.90581532469153e-39
Delorey TM. (Kidney),Kidney,B cells,MT-CO2,-0.665647793203947,5.68366507581802e-39
Delorey TM. (Kidney),Kidney,B cells,CADM2,0.461196554998613,1.12605595632825e-37
Delorey TM. (Kidney),Kidney,B cells,DUSP5,-0.427877443913465,2.07578387690666e-33
Delorey TM. (Kidney),Kidney,B cells,RBFOX1,0.473642459355184,5.24651696488495e-33
