Dataset,Tissue,Cell Type,GENE,log2FC,P Value
Delorey TM. (LN),Lymph node,B cells,ACOXL,-0.252172106714053,0.0
Delorey TM. (LN),Lymph node,B cells,AFF3,0.879436032366338,0.0
Delorey TM. (LN),Lymph node,B cells,APBB2,-0.253222749595106,0.0
Delorey TM. (LN),Lymph node,B cells,ARHGAP24,0.880764743737166,0.0
Delorey TM. (LN),Lymph node,B cells,AUTS2,0.480159769694076,0.0
Delorey TM. (LN),Lymph node,B cells,BANK1,1.06417842230998,0.0
Delorey TM. (LN),Lymph node,B cells,BMP2K,0.518721894770433,0.0
Delorey TM. (LN),Lymph node,B cells,CADM1,-0.212927209900288,0.0
Delorey TM. (LN),Lymph node,B cells,CALD1,-0.23134645277937,0.0
Delorey TM. (LN),Lymph node,B cells,CCDC102B,-0.276091644893921,0.0
Delorey TM. (LN),Lymph node,B cells,CD38,-0.26817785734276,0.0
Delorey TM. (LN),Lymph node,B cells,CD74,0.459975983500788,0.0
Delorey TM. (LN),Lymph node,B cells,CR1,0.516033386864698,0.0
Delorey TM. (LN),Lymph node,B cells,DLG2,-0.245241420863274,0.0
Delorey TM. (LN),Lymph node,B cells,ELL2,-0.222039351741052,0.0
Delorey TM. (LN),Lymph node,B cells,FCHSD2,0.523718937190715,0.0
Delorey TM. (LN),Lymph node,B cells,FNDC3B,-0.417356682436183,0.0
Delorey TM. (LN),Lymph node,B cells,FRMD4B,-0.266710414708392,0.0
Delorey TM. (LN),Lymph node,B cells,JUN,-0.209246519161714,0.0
Delorey TM. (LN),Lymph node,B cells,KCNN3,-0.301722273127449,0.0
Delorey TM. (LN),Lymph node,B cells,KHDRBS2,0.402431807214602,0.0
Delorey TM. (LN),Lymph node,B cells,MGAT5,0.730791338229374,0.0
Delorey TM. (LN),Lymph node,B cells,OSBPL10,0.525132544180822,0.0
Delorey TM. (LN),Lymph node,B cells,PLEKHG1,0.66135869616978,0.0
Delorey TM. (LN),Lymph node,B cells,PTK2,0.45400052793642,0.0
Delorey TM. (LN),Lymph node,B cells,RBPMS,-0.291700373511199,0.0
Delorey TM. (LN),Lymph node,B cells,TSHZ2,-0.224672042758135,0.0
Delorey TM. (LN),Lymph node,B cells,TTC28,-0.224403261792021,0.0
Delorey TM. (LN),Lymph node,B cells,USP6NL,0.548067956622357,0.0
Delorey TM. (LN),Lymph node,B cells,GNAQ,-0.231973800134719,1.41164e-319
Delorey TM. (LN),Lymph node,B cells,RALGPS2,0.715318449367423,2.66996795e-316
Delorey TM. (LN),Lymph node,B cells,TBC1D5,0.619485577717487,4.7568622e-316
Delorey TM. (LN),Lymph node,B cells,PLCG2,0.817486664095384,1.04753557080466e-306
Delorey TM. (LN),Lymph node,B cells,VAV3,0.416363973548595,1.51369751596048e-305
Delorey TM. (LN),Lymph node,B cells,CD22,0.619122415395791,1.24443368692695e-302
Delorey TM. (LN),Lymph node,B cells,PBX1,-0.237318439697798,1.4696917592438e-295
Delorey TM. (LN),Lymph node,B cells,CRYBG3,-0.209064081794717,1.72190711637155e-293
Delorey TM. (LN),Lymph node,B cells,JAZF1,0.399814335676306,3.82750476302864e-282
Delorey TM. (LN),Lymph node,B cells,PLEKHH2,-0.246126107340442,5.71042047154302e-267
Delorey TM. (LN),Lymph node,B cells,PLCL1,-0.219133560827463,1.10127772144837e-259
Delorey TM. (LN),Lymph node,B cells,SLAMF7,-0.221990096792672,2.0153616843314e-241
Delorey TM. (LN),Lymph node,B cells,WDFY4,0.639473815372957,5.90156769720323e-231
Delorey TM. (LN),Lymph node,B cells,GPM6A,0.408065875141694,1.54388045563474e-228
Delorey TM. (LN),Lymph node,B cells,MEF2C,0.485762507218638,3.51449296459087e-223
Delorey TM. (LN),Lymph node,B cells,BACH2,0.544306184537312,2.78595647041422e-222
Delorey TM. (LN),Lymph node,B cells,ARHGAP15,0.519093406359149,1.22353597694978e-205
Delorey TM. (LN),Lymph node,B cells,SLCO3A1,-0.220139845153273,9.57575025357864e-199
Delorey TM. (LN),Lymph node,B cells,SETBP1,0.52309221411937,1.14274995656462e-191
Delorey TM. (LN),Lymph node,B cells,FCRL1,0.675543783262664,3.38690664317607e-190
Delorey TM. (LN),Lymph node,B cells,SLA2,-0.232880284842904,8.95820082295827e-186
Delorey TM. (LN),Lymph node,B cells,LRRK2,0.507570047318321,2.28871956594271e-185
Delorey TM. (LN),Lymph node,B cells,SAMHD1,-0.267072707463658,3.13453919932289e-173
Delorey TM. (LN),Lymph node,B cells,ST8SIA1,-0.216110226045916,2.39984040337209e-172
Delorey TM. (LN),Lymph node,B cells,COBLL1,0.510840993061272,9.04137409700439e-170
Delorey TM. (LN),Lymph node,B cells,PAX5,0.640055158220256,3.01723694348792e-169
Delorey TM. (LN),Lymph node,B cells,LYN,0.456102916261233,2.85397381332629e-163
Delorey TM. (LN),Lymph node,B cells,ZBTB20,0.386284005932719,6.56187676432804e-163
Delorey TM. (LN),Lymph node,B cells,ITGA6,-0.278130593015538,3.55663147510378e-161
Delorey TM. (LN),Lymph node,B cells,PIK3AP1,0.511991485141984,2.20460933854618e-160
Delorey TM. (LN),Lymph node,B cells,FGFR1,-0.27249908285355,3.99945472701408e-160
Delorey TM. (LN),Lymph node,B cells,BCL2,0.51475839778535,3.0592089637517e-158
Delorey TM. (LN),Lymph node,B cells,LPAR6,-0.227781605013779,5.13212738575668e-153
Delorey TM. (LN),Lymph node,B cells,MS4A1,0.710931384736985,4.1346664771079e-149
Delorey TM. (LN),Lymph node,B cells,PRKCA,-0.36269914312101,4.54992930866798e-145
Delorey TM. (LN),Lymph node,B cells,ERN1,-0.225230260387859,3.65950766981366e-131
Delorey TM. (LN),Lymph node,B cells,CPEB4,-0.238408171002276,8.8733206028271e-125
Delorey TM. (LN),Lymph node,B cells,IQGAP2,-0.313455527319739,2.65054639007175e-121
Delorey TM. (LN),Lymph node,B cells,SYK,0.460041128958514,2.07121648203701e-120
Delorey TM. (LN),Lymph node,B cells,ZDHHC21,0.457883205992989,4.06088687743797e-112
Delorey TM. (LN),Lymph node,B cells,DGKH,-0.231100861196834,1.95375791205872e-105
Delorey TM. (LN),Lymph node,B cells,BCL11A,0.481347530668334,4.47809531828409e-103
Delorey TM. (LN),Lymph node,B cells,IGHG3,-0.222121771547201,8.89246620439467e-95
Delorey TM. (LN),Lymph node,B cells,XBP1,-0.23435406546421,7.38904297823811e-89
Delorey TM. (LN),Lymph node,B cells,INPP4B,-0.378917835820947,1.17108872409374e-87
Delorey TM. (LN),Lymph node,B cells,SP140,0.428959166480614,5.4991328912883e-85
Delorey TM. (LN),Lymph node,B cells,LCP2,-0.225682300028841,8.65339515922463e-82
Delorey TM. (LN),Lymph node,B cells,ADAM28,0.508050697601945,2.61109522796568e-80
Delorey TM. (LN),Lymph node,B cells,MTSS1,0.391277536901138,8.17999057386647e-77
Delorey TM. (LN),Lymph node,B cells,CCDC141,0.414702256018232,2.40437216343882e-73
Delorey TM. (LN),Lymph node,B cells,SLFN12L,-0.262332552515821,1.0565884070937e-64
Delorey TM. (LN),Lymph node,B cells,PITPNC1,-0.309201556049416,6.27015228327088e-64
Delorey TM. (LN),Lymph node,B cells,PDE3B,-0.335725573530373,8.22991420853491e-52
Delorey TM. (LN),Lymph node,B cells,GPRIN3,-0.20939947348069,2.4905858366742e-50
Delorey TM. (LN),Lymph node,B cells,CD96,-0.247173518865472,2.43943419506372e-46
Delorey TM. (LN),Lymph node,B cells,FCRL2,0.392105564480777,3.92889566744964e-46
Delorey TM. (LN),Lymph node,B cells,PRKCQ,-0.25519656885058,4.36982426020296e-43
Delorey TM. (LN),Lymph node,B cells,AAK1,-0.266500610171483,1.65306813353113e-36
Delorey TM. (LN),Lymph node,B cells,LY86,0.418868346470293,4.87764002527708e-33
Delorey TM. (LN),Lymph node,B cells,LEF1,-0.209975495830274,7.91232947908546e-28
Delorey TM. (LN),Lymph node,CD8+ T cells,JUNB,0.626275737908597,3.94218861327459e-309
Delorey TM. (LN),Lymph node,CD8+ T cells,ID1,-0.452465415426858,2.54633446358493e-254
Delorey TM. (LN),Lymph node,CD8+ T cells,GADD45B,0.397613397878679,5.01141074900019e-249
Delorey TM. (LN),Lymph node,CD8+ T cells,BLOC1S4,-0.433286592943575,3.4067327432748e-161
Delorey TM. (LN),Lymph node,CD8+ T cells,AREG,0.632724381918041,2.49805215231814e-160
Delorey TM. (LN),Lymph node,CD8+ T cells,DUSP2,-0.564666280371339,2.04807287035006e-63
Delorey TM. (LN),Lymph node,CD8+ T cells,NDUFB2,-1.01675123139702,7.41459690253674e-48
Delorey TM. (LN),Lymph node,CD8+ T cells,DUSP1,0.845534444401123,2.10550951805831e-43
Delorey TM. (LN),Lymph node,CD8+ T cells,PIWIL1,0.574205223686401,8.76711574930543e-42
Delorey TM. (LN),Lymph node,CD8+ T cells,TIMM13,-0.808758790409225,6.10062570611667e-33
Delorey TM. (LN),Lymph node,CD8+ T cells,THYN1,-0.751188560887865,3.28785535100733e-27
Delorey TM. (LN),Lymph node,CD8+ T cells,SOD1,0.557444703389359,6.08669794641331e-22
Delorey TM. (LN),Lymph node,CD8+ T cells,IGLC2,0.350783695750524,1.52803523567291e-21
Delorey TM. (LN),Lymph node,CD8+ T cells,SLC25A6,-0.420294505528085,8.38322274113198e-18
Delorey TM. (LN),Lymph node,CD8+ T cells,RPS26,-0.459445372971488,1.56230481372166e-17
