Dataset,Tissue,Cell Type,GENE,log2FC,P Value
Delorey TM. (Liver),Liver,Cholangiocytes,CAPG,0.748482628947857,1.04386118307774e-184
Delorey TM. (Liver),Liver,Cholangiocytes,LYPD6B,0.605056351055961,2.90884661386222e-49
Delorey TM. (Liver),Liver,Cholangiocytes,PAK3,-2.40155425521994,1.13933015381369e-41
Delorey TM. (Liver),Liver,Cholangiocytes,KCNJ16,-3.37111481028301,2.23233649966446e-39
Delorey TM. (Liver),Liver,Cholangiocytes,PIGR,-2.47134649961883,5.36234436085989e-38
Delorey TM. (Liver),Liver,Cholangiocytes,HIST1H2BG,0.583290323517164,1.00914403695253e-35
Delorey TM. (Liver),Liver,Cholangiocytes,SYNGR1,0.681451808129566,1.11444571956031e-31
Delorey TM. (Liver),Liver,Cholangiocytes,SCGN,-2.70184647141443,2.94736714872145e-29
Delorey TM. (Liver),Liver,Cholangiocytes,CCL2,-2.11795038113242,1.71635841313277e-27
Delorey TM. (Liver),Liver,Cholangiocytes,SOX9,-2.18039188489675,7.16336661521252e-23
Delorey TM. (Liver),Liver,Cholangiocytes,CD24,-2.37696700133378,7.89392652234904e-23
Delorey TM. (Liver),Liver,Cholangiocytes,CXCL6,-3.60724368950723,4.23909880030351e-22
Delorey TM. (Liver),Liver,Cholangiocytes,KRT7,-2.71795969975112,1.30395208932847e-21
Delorey TM. (Liver),Liver,Cholangiocytes,CLIC6,-2.89246638680174,1.38699828346457e-21
Delorey TM. (Liver),Liver,Cholangiocytes,AQP1,-2.43145312849948,2.34895350127463e-21
Delorey TM. (Liver),Liver,Cholangiocytes,KRT19,-3.21149716762073,5.09780913199159e-18
Delorey TM. (Liver),Liver,Cholangiocytes,RHEX,-2.05897077585511,1.26935965038309e-17
Delorey TM. (Liver),Liver,Cholangiocytes,CDKN1C,0.843430369606773,1.55872433932713e-17
Delorey TM. (Liver),Liver,Cholangiocytes,LYZ,0.620924897676945,1.12387113795919e-14
Delorey TM. (Liver),Liver,Cholangiocytes,AC007906.2,1.43263156191564,1.39246853692716e-13
Delorey TM. (Liver),Liver,Cholangiocytes,SPP1,-2.20393796209621,1.68063953390422e-12
Delorey TM. (Liver),Liver,Cholangiocytes,POU6F2,0.871547134482676,3.22590444892257e-12
Delorey TM. (Liver),Liver,Cholangiocytes,TACSTD2,-2.63935027820467,3.24284711604723e-12
Delorey TM. (Liver),Liver,Cholangiocytes,CAV1,-1.98374122921693,1.0781018805494e-10
