Dataset,Tissue,Cell Type,GENE,log2FC,P Value
Delorey TM. (Lung),Lung,Alveolar type I cells,MT-ND4,-1.10438003542709,0.0
Delorey TM. (Lung),Lung,Alveolar type I cells,RPL41,-0.509892513948232,0.0
Delorey TM. (Lung),Lung,Alveolar type I cells,S100A6,-0.790800183483438,1.39002838924742e-296
Delorey TM. (Lung),Lung,Alveolar type I cells,APOO,-0.577429259118453,7.30697385717237e-291
Delorey TM. (Lung),Lung,Alveolar type I cells,MT-ATP6,-1.12831635846768,2.74773660584004e-289
Delorey TM. (Lung),Lung,Alveolar type I cells,ACTB,-0.664938144311253,3.0356845644695e-286
Delorey TM. (Lung),Lung,Alveolar type I cells,RPS19,-0.575932838156955,3.96492506408515e-282
Delorey TM. (Lung),Lung,Alveolar type I cells,MT-ND3,-1.10357268232062,1.67061263226085e-281
Delorey TM. (Lung),Lung,Alveolar type I cells,MT-ND1,-1.02518727542618,3.59456373458464e-279
Delorey TM. (Lung),Lung,Alveolar type I cells,MT-ND2,-0.9963807211233,1.46307857650452e-275
Delorey TM. (Lung),Lung,Alveolar type I cells,MT-CYB,-0.900697116648226,4.31394441609879e-260
Delorey TM. (Lung),Lung,Alveolar type I cells,MT-CO2,-0.999188186777037,4.34023426636512e-245
Delorey TM. (Lung),Lung,Alveolar type I cells,MT-ND5,-0.725332996273578,4.31647405981343e-236
Delorey TM. (Lung),Lung,Alveolar type I cells,MT-CO3,-1.04490767989787,2.61381184250106e-230
Delorey TM. (Lung),Lung,Alveolar type I cells,CCDC30,0.475085102559987,4.22323655633432e-227
Delorey TM. (Lung),Lung,Alveolar type I cells,STK33,0.459525347295204,5.41726220921148e-221
Delorey TM. (Lung),Lung,Alveolar type I cells,MT-CO1,-0.874790790837106,3.70745692482733e-220
Delorey TM. (Lung),Lung,Alveolar type I cells,DHFR,-0.719073460194988,1.14206300554678e-212
Delorey TM. (Lung),Lung,Alveolar type I cells,NR6A1,0.473283632667283,7.60367446118885e-210
Delorey TM. (Lung),Lung,Alveolar type I cells,CACNA2D3,0.5512010035081,4.15417262030383e-186
Delorey TM. (Lung),Lung,Alveolar type I cells,MTRNR2L12,-0.779415733462065,2.48429656732402e-177
Delorey TM. (Lung),Lung,Alveolar type I cells,BMPR1B,0.518810444532024,8.88949915032364e-175
Delorey TM. (Lung),Lung,Alveolar type I cells,TACSTD2,-0.792762240896168,6.28010385602426e-171
Delorey TM. (Lung),Lung,Alveolar type I cells,SH3GL2,0.697262143378412,1.9680772456212e-168
Delorey TM. (Lung),Lung,Alveolar type I cells,LRRC1,0.497632277243433,1.03727125384686e-162
Delorey TM. (Lung),Lung,Alveolar type I cells,EHD2,-0.774293700285521,5.12607294953537e-156
Delorey TM. (Lung),Lung,Alveolar type I cells,MYO5B,0.534832822936694,2.36714594715203e-151
Delorey TM. (Lung),Lung,Alveolar type I cells,CCDC85A,0.793517396783164,1.15092781891011e-144
Delorey TM. (Lung),Lung,Alveolar type I cells,PCYOX1,-0.552135083173936,4.97350025919493e-131
Delorey TM. (Lung),Lung,Alveolar type I cells,ANKS1B,0.461342498400011,6.3552975844395e-130
Delorey TM. (Lung),Lung,Alveolar type I cells,CASC15,0.54286342618954,8.29578830905298e-130
Delorey TM. (Lung),Lung,Alveolar type I cells,SUSD2,-0.569488731833354,3.27182148302537e-128
Delorey TM. (Lung),Lung,Alveolar type I cells,BMPER,0.53520233027198,2.24707387796478e-127
Delorey TM. (Lung),Lung,Alveolar type I cells,TTLL7,0.567050062071997,1.18073795271373e-125
Delorey TM. (Lung),Lung,Alveolar type I cells,NRG1,0.728365285895116,1.47134608303061e-123
Delorey TM. (Lung),Lung,Alveolar type I cells,AC002066.1,0.81520367293248,2.40552421796732e-114
Delorey TM. (Lung),Lung,Alveolar type I cells,CNTN6,1.08867279201857,6.652764035398e-114
Delorey TM. (Lung),Lung,Alveolar type I cells,B2M,-0.592118300493689,1.19413966907921e-110
Delorey TM. (Lung),Lung,Alveolar type I cells,SDC1,-0.707895673938705,3.0132437092948e-110
Delorey TM. (Lung),Lung,Alveolar type I cells,DAPK2,0.600058236753522,4.70893705990415e-107
Delorey TM. (Lung),Lung,Alveolar type I cells,CST6,-0.592199497439202,1.27339880963855e-104
