Dataset,Tissue,Cell Type,GENE,log2FC,P Value
Delorey TM. (Trachea),Airway,Alveolar type I cells,SLC7A7,0.405102945194572,1.80069854123988e-20
Delorey TM. (Trachea),Airway,Alveolar type I cells,SLC5A9,0.911498367588465,3.72224341493999e-18
Delorey TM. (Trachea),Airway,Alveolar type I cells,C2orf91,0.474370625752117,1.06917244954662e-15
Delorey TM. (Trachea),Airway,Alveolar type I cells,SERTM1,0.893566435916059,6.85329054728363e-15
Delorey TM. (Trachea),Airway,Alveolar type I cells,EGOT,0.426740007236205,2.64355266814925e-14
Delorey TM. (Trachea),Airway,Alveolar type I cells,HS3ST5,0.387773345207837,2.64641416594928e-13
Delorey TM. (Trachea),Airway,Alveolar type I cells,TUBB6,-0.481641991176771,2.86555911686291e-07
Delorey TM. (Trachea),Airway,Alveolar type I cells,SLC1A1,0.462983433961109,4.83399064098209e-07
Delorey TM. (Trachea),Airway,Alveolar type I cells,NEXN,-0.314552653169781,3.04475571231726e-06
Delorey TM. (Trachea),Airway,Alveolar type I cells,ENPP2,0.303368511098698,6.01976184100009e-06
Delorey TM. (Trachea),Airway,Alveolar type I cells,FAM167A,-0.32928740268431,1.37387995342351e-05
Delorey TM. (Trachea),Airway,Alveolar type I cells,ST6GALNAC5,-0.473784633065728,2.75966592020537e-05
Delorey TM. (Trachea),Airway,Alveolar type I cells,KCNG3,-0.255117470056678,7.09359079857497e-05
Delorey TM. (Trachea),Airway,Alveolar type I cells,NGF,0.338750720311208,0.000128847629357128
Delorey TM. (Trachea),Airway,Alveolar type I cells,FSTL3,0.356365018972732,0.00176769243503067
Delorey TM. (Trachea),Airway,Alveolar type I cells,ABCA8,0.380391912201952,0.0196165189134867
Delorey TM. (Trachea),Airway,Alveolar type I cells,S100A4,-0.330562925009926,0.0328538366767975
Delorey TM. (Trachea),Airway,Alveolar type I cells,STXBP6,-0.223035022708848,0.0339309542306807
Delorey TM. (Trachea),Airway,Alveolar type I cells,TNNT1,-0.347098873801283,0.0364379444421945
Delorey TM. (Trachea),Airway,Alveolar type II cells,ODAM,0.106488089288673,7.27856752923163e-82
Delorey TM. (Trachea),Airway,Alveolar type II cells,BCYRN1,0.161699593045393,5.40943362254143e-68
Delorey TM. (Trachea),Airway,Alveolar type II cells,COX6B2,-0.139371066463316,7.53564599046212e-58
Delorey TM. (Trachea),Airway,Alveolar type II cells,TNC,-0.138608699172791,6.7904180267766e-53
Delorey TM. (Trachea),Airway,Alveolar type II cells,RP11-247A12.2,0.157582234634214,2.62511102970765e-32
Delorey TM. (Trachea),Airway,Alveolar type II cells,ZCCHC12,-0.16994837854825,1.64242745240622e-26
Delorey TM. (Trachea),Airway,Alveolar type II cells,CPB2,-0.13464431077266,1.31657655127947e-22
Delorey TM. (Trachea),Airway,Alveolar type II cells,HHIP,-0.146963487363679,9.40236680285684e-22
Delorey TM. (Trachea),Airway,Alveolar type II cells,ZDHHC3,0.108461871774664,2.29084956778139e-21
Delorey TM. (Trachea),Airway,Alveolar type II cells,CTSE,0.0945523425510325,1.76741329111798e-18
Delorey TM. (Trachea),Airway,Alveolar type II cells,TTN,-0.111895811468794,4.39316717056074e-16
Delorey TM. (Trachea),Airway,Alveolar type II cells,CMB9-22P13.1,-0.129702805826401,7.0710283583252e-15
Delorey TM. (Trachea),Airway,Alveolar type II cells,SFTPC,-0.264450989148009,1.06775783564365e-13
Delorey TM. (Trachea),Airway,Alveolar type II cells,RASGRF1,-0.109080961669826,8.71602697366563e-12
Delorey TM. (Trachea),Airway,Alveolar type II cells,HMGCS2,0.106239168803237,3.05639831425707e-11
Delorey TM. (Trachea),Airway,Alveolar type II cells,HSPA6,0.133547271032095,3.11061470866935e-11
Delorey TM. (Trachea),Airway,Alveolar type II cells,RPL13A,0.107357576069964,4.12306695642864e-11
Delorey TM. (Trachea),Airway,Alveolar type II cells,C8orf4,0.108680673003954,7.1754210569161e-11
Delorey TM. (Trachea),Airway,Alveolar type II cells,RMRP,0.0923670618979374,2.09986564247545e-09
Delorey TM. (Trachea),Airway,Alveolar type II cells,RP11-713M15.1,0.0963340844346759,3.55893937838669e-09
Delorey TM. (Trachea),Airway,Alveolar type II cells,PLCG2,-0.122515905249624,5.73261975614653e-09
Delorey TM. (Trachea),Airway,Alveolar type II cells,CKS2,-0.114384851231427,8.7569087912083e-09
Delorey TM. (Trachea),Airway,Alveolar type II cells,ADRB2,-0.126901358277058,5.99474761485874e-08
Delorey TM. (Trachea),Airway,Alveolar type II cells,DNAJB9,-0.117013093444605,6.97652824503042e-07
Delorey TM. (Trachea),Airway,Alveolar type II cells,ANKRD28,-0.137727338103814,1.26715066430054e-06
Delorey TM. (Trachea),Airway,Alveolar type II cells,ERRFI1,-0.116774017812545,3.05319420930923e-06
Delorey TM. (Trachea),Airway,Alveolar type II cells,ALPL,-0.134521672661933,9.72816744951294e-06
Delorey TM. (Trachea),Airway,Alveolar type II cells,PPP1R1B,-0.121216746289929,1.04272387756309e-05
Delorey TM. (Trachea),Airway,Alveolar type II cells,ICAM4,-0.114329516224267,4.19233781535241e-05
Delorey TM. (Trachea),Airway,Alveolar type II cells,C11orf96,-0.111631392444331,4.65660952082055e-05
Delorey TM. (Trachea),Airway,Alveolar type II cells,RP3-402G11.27,-0.108741903413944,5.53931774552292e-05
Delorey TM. (Trachea),Airway,Alveolar type II cells,PEBP4,-0.117924971504232,0.000161572954788101
Delorey TM. (Trachea),Airway,Alveolar type II cells,TMEM163,0.123356418486636,0.000338807379592123
Delorey TM. (Trachea),Airway,Alveolar type II cells,SFTPD,-0.133524002541005,0.00039760410758109
Delorey TM. (Trachea),Airway,Alveolar type II cells,SFTPA2,0.15462259416195,0.000429518111311925
Delorey TM. (Trachea),Airway,Alveolar type II cells,CYP1B1,0.0940276909905689,0.00084593186736909
Delorey TM. (Trachea),Airway,Alveolar type II cells,AREG,-0.113449312247061,0.00155220552982838
Delorey TM. (Trachea),Airway,Alveolar type II cells,AC008268.1,0.110475328762582,0.00295683707730768
Delorey TM. (Trachea),Airway,Alveolar type II cells,ABCA3,0.0990677885584335,0.00382741268800163
Delorey TM. (Trachea),Airway,Alveolar type II cells,MSLN,0.16136723589541,0.00957516163620133
Delorey TM. (Trachea),Airway,Alveolar type II cells,GPAT3,-0.117814332085366,0.0135129829336533
Delorey TM. (Trachea),Airway,Alveolar type II cells,C4BPA,0.115753190371812,0.0285064265785571
Delorey TM. (Trachea),Airway,Basal cells,NES,1.24803866989623,6.63025619909085e-10
