Dataset,Tissue,Cell Type,GENE,log2FC,P Value
Heming M. (Cerebrospinal fluid),Brain,CD4+ T cells,B2M,-2.4918311657405,0.0
Heming M. (Cerebrospinal fluid),Brain,CD4+ T cells,EEF1A1,1.2942618472575,0.0
Heming M. (Cerebrospinal fluid),Brain,CD4+ T cells,MT-ND3,2.33129347767528,0.0
Heming M. (Cerebrospinal fluid),Brain,CD4+ T cells,MT-ND4L,2.62870082734524,0.0
Heming M. (Cerebrospinal fluid),Brain,CD4+ T cells,MTRNR2L12,4.79403742670684,0.0
Heming M. (Cerebrospinal fluid),Brain,CD4+ T cells,RPL21,-2.01883620257997,0.0
Heming M. (Cerebrospinal fluid),Brain,CD4+ T cells,RPL30,2.21096340001354,0.0
Heming M. (Cerebrospinal fluid),Brain,CD4+ T cells,RPL41,1.58237015848611,0.0
Heming M. (Cerebrospinal fluid),Brain,CD4+ T cells,RPL7,-1.91846619863582,0.0
Heming M. (Cerebrospinal fluid),Brain,CD4+ T cells,RPS10,1.36923459836067,0.0
Heming M. (Cerebrospinal fluid),Brain,CD4+ T cells,RPS12,1.87984894688848,0.0
Heming M. (Cerebrospinal fluid),Brain,CD4+ T cells,RPS20,-1.32648578992229,0.0
Heming M. (Cerebrospinal fluid),Brain,CD4+ T cells,TPT1,1.51046644114305,0.0
Heming M. (Cerebrospinal fluid),Brain,CD4+ T cells,MTRNR2L8,2.02763127835954,8.0266e-320
Heming M. (Cerebrospinal fluid),Brain,CD4+ T cells,RPL31,-1.37066829891813,5.33287e-317
Heming M. (Cerebrospinal fluid),Brain,CD4+ T cells,RPL13A,-2.05765919335877,1.21177538892879e-296
Heming M. (Cerebrospinal fluid),Brain,CD4+ T cells,RPS17,-1.18507302747309,5.33470545358819e-282
Heming M. (Cerebrospinal fluid),Brain,CD4+ T cells,RPS2,-1.20260050741195,2.88081152702402e-265
Heming M. (Cerebrospinal fluid),Brain,CD4+ T cells,TRAC,-1.38947456459499,1.32036780334709e-205
Heming M. (Cerebrospinal fluid),Brain,CD4+ T cells,CD52,-1.26324054129206,1.65758065888288e-203
Heming M. (Cerebrospinal fluid),Brain,CD4+ T cells,TMSB4X,-1.54705737515105,1.95563522150406e-191
Heming M. (Cerebrospinal fluid),Brain,CD4+ T cells,ATP6V0C,1.7694706753741,1.25184982981094e-150
Heming M. (Cerebrospinal fluid),Brain,CD8+ T cells,TRBV30,17.2823224011652,5.81757056090189e-60
Heming M. (Cerebrospinal fluid),Brain,CD8+ T cells,CCL4,30.9434845323951,6.83259215575698e-25
Heming M. (Cerebrospinal fluid),Brain,CD8+ T cells,TRAV29DV5,17.2727532204969,8.55287599536057e-10
Heming M. (Cerebrospinal fluid),Brain,CD8+ T cells,COQ3,7.20099229065808,1.45149396849874e-05
Heming M. (Cerebrospinal fluid),Brain,CD8+ T cells,ATP6V0C,8.70824247795971,2.8772996041611e-05
Heming M. (Cerebrospinal fluid),Brain,CD8+ T cells,RPL13A,-4.74877428582143,3.91431413238674e-05
Heming M. (Cerebrospinal fluid),Brain,CD8+ T cells,RPL27A,-2.79190933339468,7.92638699007266e-05
Heming M. (Cerebrospinal fluid),Brain,CD8+ T cells,RPLP2,-3.15999624171933,8.98499438331319e-05
Heming M. (Cerebrospinal fluid),Brain,CD8+ T cells,RPL23A,-1.99733991426312,0.000282672187165086
Heming M. (Cerebrospinal fluid),Brain,CD8+ T cells,OVCA2,13.3046771317867,0.00108083854283207
Heming M. (Cerebrospinal fluid),Brain,CD8+ T cells,RPL38,-1.96210446723575,0.0020553812430403
Heming M. (Cerebrospinal fluid),Brain,CD8+ T cells,HBA1,13.6650955083649,0.002151211490596
Heming M. (Cerebrospinal fluid),Brain,CD8+ T cells,RPL31,-2.04509127456172,0.00312528458389747
Heming M. (Cerebrospinal fluid),Brain,CD8+ T cells,PRSS23,9.24339308981672,0.00488077662851163
Heming M. (Cerebrospinal fluid),Brain,CD8+ T cells,RPL37A,-1.39325424638083,0.00517457726857012
Heming M. (Cerebrospinal fluid),Brain,CD8+ T cells,EEF1A1,-1.79223966934993,0.0078658009194831
Heming M. (Cerebrospinal fluid),Brain,CD8+ T cells,RPS20,-2.08628786240584,0.0118400509833607
Heming M. (Cerebrospinal fluid),Brain,CD8+ T cells,LINC02210-CRHR1,8.54526930969678,0.0177134567078313
Heming M. (Cerebrospinal fluid),Brain,CD8+ T cells,AC004889.1,9.43861058346963,0.0192746880724848
Heming M. (Cerebrospinal fluid),Brain,CD8+ T cells,ERRFI1,9.48797319494095,0.0246406185714054
Heming M. (Cerebrospinal fluid),Brain,CD8+ T cells,AC010978.1,9.22912193849369,0.0271679115471033
Heming M. (Cerebrospinal fluid),Brain,CD8+ T cells,RPS2,-2.21978662276232,0.0292025614427441
Heming M. (Cerebrospinal fluid),Brain,CD8+ T cells,RPS6,-1.85574172104029,0.039386115701679
Heming M. (Cerebrospinal fluid),Brain,Granulocytes,CRIP1,2.00594338316645,1.22532091028222e-25
Heming M. (Cerebrospinal fluid),Brain,Granulocytes,MT-ND3,1.83730575530857,6.67332748064941e-09
Heming M. (Cerebrospinal fluid),Brain,Granulocytes,LINC01871,2.94147034207504,4.14070068530768e-07
Heming M. (Cerebrospinal fluid),Brain,Granulocytes,IFIT3,-4.98601256962057,2.22471962659623e-06
Heming M. (Cerebrospinal fluid),Brain,Granulocytes,IFI27,5.97550521229271,2.14151461201765e-05
Heming M. (Cerebrospinal fluid),Brain,Granulocytes,IFIT1,-6.07738689990084,5.76755666794024e-05
Heming M. (Cerebrospinal fluid),Brain,Granulocytes,ISG15,-13.8382915043337,0.000375565613436742
Heming M. (Cerebrospinal fluid),Brain,Granulocytes,S100A4,1.82188401358626,0.000746867498970447
Heming M. (Cerebrospinal fluid),Brain,Granulocytes,IFI6,-5.10477266699275,0.000963340291705483
Heming M. (Cerebrospinal fluid),Brain,Granulocytes,LGALS1,2.90762987205894,0.00121269503491853
Heming M. (Cerebrospinal fluid),Brain,Granulocytes,GZMA,4.71317260980742,0.00283135769911401
Heming M. (Cerebrospinal fluid),Brain,Granulocytes,CXCR6,3.16829084991628,0.00472347817994854
Heming M. (Cerebrospinal fluid),Brain,Granulocytes,GNG10,1.88891788968532,0.00957644115337023
Heming M. (Cerebrospinal fluid),Brain,Granulocytes,IFITM3,-4.80022504327382,0.0204388294641303
Heming M. (Cerebrospinal fluid),Brain,Granulocytes,MIR4435-2HG,1.89967402652703,0.0377991407992224
Heming M. (Cerebrospinal fluid),Brain,Granulocytes,S100A9,-5.5994664768701,0.0450843559162207
Heming M. (Cerebrospinal fluid),Brain,Monocytes,MT-ND3,5.73762097929101,1.34039600419196e-179
Heming M. (Cerebrospinal fluid),Brain,Monocytes,MT-ND4L,2.99716378839659,4.17036473077677e-61
Heming M. (Cerebrospinal fluid),Brain,Monocytes,MTRNR2L8,1.00604208133577,1.32860418555989e-33
