Dataset,Tissue,Cell Type,GENE,log2FC,P Value
Liao M. (BALF),Lung,Epithelial cells,MT-ATP8,6.15081689085546,1.88435637395376e-90
Liao M. (BALF),Lung,Epithelial cells,ALDH1A3,-12.458376456119,2.42610869365675e-83
Liao M. (BALF),Lung,Epithelial cells,TACSTD2,-15.7654744965015,9.64678401651087e-79
Liao M. (BALF),Lung,Epithelial cells,FGFBP1,-11.7348689809059,4.24845997639561e-78
Liao M. (BALF),Lung,Epithelial cells,KRT17,-14.65200159076,7.5178967644667e-70
Liao M. (BALF),Lung,Epithelial cells,S100A2,-14.7104781581077,1.16800883921156e-68
Liao M. (BALF),Lung,Epithelial cells,AGR2,-14.751538314257,5.05548186563413e-68
Liao M. (BALF),Lung,Epithelial cells,SFN,-10.0176965796935,1.06556512065643e-63
Liao M. (BALF),Lung,Epithelial cells,AQP3,-9.22121133275721,1.16618921555014e-59
Liao M. (BALF),Lung,Epithelial cells,C19orf33,-11.2157026923802,4.6888461870624e-59
Liao M. (BALF),Lung,Epithelial cells,TM4SF1,-11.6560417872789,5.84321623776219e-58
Liao M. (BALF),Lung,Epithelial cells,GPRC5A,-10.630629480402,4.57729279612804e-57
Liao M. (BALF),Lung,Epithelial cells,UPK1B,-9.72656495777943,3.67542677146702e-56
Liao M. (BALF),Lung,Epithelial cells,KRT8,-11.7888657349419,2.04959412727615e-55
Liao M. (BALF),Lung,Epithelial cells,GALNT5,-7.21778870537476,3.03896021711814e-52
Liao M. (BALF),Lung,Epithelial cells,SDCBP2,-6.52963367094231,1.49934146224329e-51
Liao M. (BALF),Lung,Epithelial cells,S100A16,-9.6888451133285,9.03534262278774e-51
Liao M. (BALF),Lung,Epithelial cells,LMO7,-10.2118653375422,1.19609846776444e-49
Liao M. (BALF),Lung,Epithelial cells,CXCL17,-11.8788573377015,1.09400078063713e-44
Liao M. (BALF),Lung,Epithelial cells,KRT7,-11.9495324829749,5.39797837929094e-43
Liao M. (BALF),Lung,Epithelial cells,KRT15,-6.36418831716502,6.28738688017163e-42
Liao M. (BALF),Lung,Epithelial cells,ASS1,-8.18635559713139,6.49949964246194e-42
Liao M. (BALF),Lung,Epithelial cells,KRT19,-11.1137596206189,3.17933860430209e-41
Liao M. (BALF),Lung,Epithelial cells,CEACAM5,-9.4963455168862,1.07535835487783e-40
