Dataset,Tissue,Cell Type,GENE,log2FC,P Value
Melms JC. (Lung),Lung,Airway epithelial cells,PTPRN2,-7.67331337598812,1.28431549828235e-278
Melms JC. (Lung),Lung,Airway epithelial cells,CYP3A5,-4.79244530703681,1.69181800083885e-272
Melms JC. (Lung),Lung,Airway epithelial cells,GNGT1,-5.75951635726012,3.08492072171417e-248
Melms JC. (Lung),Lung,Airway epithelial cells,CEACAM5,-6.64673848874245,2.00169609736589e-240
Melms JC. (Lung),Lung,Airway epithelial cells,RP1,9.45817095948575,4.10776076875065e-204
Melms JC. (Lung),Lung,Airway epithelial cells,CFAP299,9.96027105403047,8.49925303217414e-201
Melms JC. (Lung),Lung,Airway epithelial cells,DNAH12,10.8982426281004,6.12947860316324e-191
Melms JC. (Lung),Lung,Airway epithelial cells,LINC00342,-8.97602572778211,2.36285501936711e-189
Melms JC. (Lung),Lung,Airway epithelial cells,RGS6,-7.2810479197868,2.23127143324771e-188
Melms JC. (Lung),Lung,Airway epithelial cells,MYBPC1,-4.93312673827051,2.45755871042914e-186
Melms JC. (Lung),Lung,Airway epithelial cells,ATP10B,-3.93349961055464,1.68217803572521e-185
Melms JC. (Lung),Lung,Airway epithelial cells,MUC5AC,-6.86300145453946,3.99826320648554e-185
Melms JC. (Lung),Lung,Airway epithelial cells,ANKRD36C,-7.04219545331138,1.24255510430661e-180
Melms JC. (Lung),Lung,Airway epithelial cells,CFAP54,5.47596726464638,3.86423067656848e-175
Melms JC. (Lung),Lung,Airway epithelial cells,MUC3A,-5.74084268752236,6.14486936944136e-171
Melms JC. (Lung),Lung,Airway epithelial cells,LRRIQ1,6.29193621229835,3.85259084454859e-170
Melms JC. (Lung),Lung,Airway epithelial cells,STK33,4.69838985037438,1.78689410598161e-169
Melms JC. (Lung),Lung,Airway epithelial cells,LINC01876,-5.00669887263632,4.45632725228642e-167
Melms JC. (Lung),Lung,Airway epithelial cells,CDHR3,7.58298875818246,2.69398253178514e-164
Melms JC. (Lung),Lung,Airway epithelial cells,FER1L6,-5.85185740379457,3.51731516907769e-162
Melms JC. (Lung),Lung,Airway epithelial cells,AGBL4,9.1457033361533,8.73949145810318e-162
Melms JC. (Lung),Lung,Airway epithelial cells,POF1B,-3.89390292440453,9.33782432464316e-162
Melms JC. (Lung),Lung,Airway epithelial cells,DCDC1,6.38682764768394,3.32888858002717e-161
Melms JC. (Lung),Lung,Airway epithelial cells,NEK10,5.82677872776589,4.05616149850811e-160
Melms JC. (Lung),Lung,Airway epithelial cells,DNAH6,6.5781523049271,2.38546804636928e-159
