Dataset,Tissue,Cell Type,GENE,log2FC,P Value
Misharin A. (Bronchia),Airway,Basal cells,PHLDB2,-0.416792950726232,8.4412931003543e-145
Misharin A. (Bronchia),Airway,Basal cells,MUCL1,0.239656817324461,2.70786866131724e-129
Misharin A. (Bronchia),Airway,Basal cells,UGT2A1,0.284516095616028,3.7784869421642e-101
Misharin A. (Bronchia),Airway,Basal cells,TNFAIP3,-0.207097095261156,3.68381075093011e-99
Misharin A. (Bronchia),Airway,Basal cells,CD177,0.320855601517029,1.05105691175808e-96
Misharin A. (Bronchia),Airway,Basal cells,SPRY1,-0.218422035495575,3.9274943739482e-76
Misharin A. (Bronchia),Airway,Basal cells,CHST9,0.283646009617949,4.43402982382263e-74
Misharin A. (Bronchia),Airway,Basal cells,CSF3,-0.294744025062846,1.2784908587786e-73
Misharin A. (Bronchia),Airway,Basal cells,HBB,-0.307087537510941,9.89261705314097e-72
Misharin A. (Bronchia),Airway,Basal cells,CEMIP,0.286092076412643,1.71676997393178e-65
Misharin A. (Bronchia),Airway,Basal cells,LYPD3,-0.347071769352396,1.2971709878276e-61
Misharin A. (Bronchia),Airway,Basal cells,MAFF,-0.289475288318855,1.04717097036264e-58
Misharin A. (Bronchia),Airway,Basal cells,NFKBIA,-0.254574712493882,2.00962248918974e-55
Misharin A. (Bronchia),Airway,Basal cells,AQP5,0.241984067430331,1.98207181444588e-54
Misharin A. (Bronchia),Airway,Basal cells,TM4SF1,-0.220033259757055,2.02884678374814e-51
Misharin A. (Bronchia),Airway,Basal cells,HCAR3,0.333086211421085,3.46255646954579e-51
Misharin A. (Bronchia),Airway,Basal cells,CDKN1C,-0.267260883706322,1.55248562529309e-49
Misharin A. (Bronchia),Airway,Basal cells,EPAS1,0.320600047373153,3.87627065651023e-47
Misharin A. (Bronchia),Airway,Basal cells,LAMB3,-0.196225085398523,5.72583970829558e-46
Misharin A. (Bronchia),Airway,Basal cells,C15orf48,-0.237730856553291,7.30106617861999e-44
Misharin A. (Bronchia),Airway,Basal cells,RHOB,-0.222357437684255,6.57582171092738e-43
Misharin A. (Bronchia),Airway,Basal cells,DHCR24,0.256085187353885,5.41973163097685e-41
Misharin A. (Bronchia),Airway,Basal cells,RAB11FIP1,-0.205846096694669,2.54224778474625e-40
Misharin A. (Bronchia),Airway,Basal cells,KCNJ15,-0.220014436121181,4.77771340297019e-40
Misharin A. (Bronchia),Airway,Basal cells,KLHL21,-0.210968998689401,5.73581030928708e-40
Misharin A. (Bronchia),Airway,Basal cells,C1S,-0.249027417777344,1.12219964192948e-39
Misharin A. (Bronchia),Airway,Basal cells,SERPINB3,0.3239934903793,1.15416563151913e-33
Misharin A. (Bronchia),Airway,Basal cells,VAMP5,-0.198287862259172,5.00120752035201e-33
Misharin A. (Bronchia),Airway,Basal cells,HIF1A,-0.218793913588455,6.65649675023749e-33
Misharin A. (Bronchia),Airway,Basal cells,FLNA,-0.221871629135675,6.16064772548786e-32
Misharin A. (Bronchia),Airway,Basal cells,KLF6,-0.201731691141348,7.39519581256449e-31
Misharin A. (Bronchia),Airway,Basal cells,CCK,-0.208146313713508,7.7204536487345e-31
Misharin A. (Bronchia),Airway,Basal cells,EGFR,0.34020836076693,1.55298682015585e-27
Misharin A. (Bronchia),Airway,Basal cells,S100A10,-0.292976084893447,1.59754144575897e-27
Misharin A. (Bronchia),Airway,Basal cells,FOSL1,-0.254658350206139,5.45455971541258e-27
Misharin A. (Bronchia),Airway,Basal cells,SMIM31,0.246859485094432,3.22700600652129e-25
Misharin A. (Bronchia),Airway,Basal cells,KITLG,0.299799920795441,1.14040754397421e-23
Misharin A. (Bronchia),Airway,Basal cells,AKR1C1,0.268480960985645,1.95716295028984e-23
Misharin A. (Bronchia),Airway,Basal cells,LMTK3,-0.244956761840107,3.17437972519332e-23
Misharin A. (Bronchia),Airway,Basal cells,DEGS2,0.23914533868165,4.65008164478728e-22
Misharin A. (Bronchia),Airway,Basal cells,KIAA1324,0.244223908832227,6.11134965829939e-22
Misharin A. (Bronchia),Airway,Basal cells,ZNF185,0.346110599818437,1.91244473305023e-21
Misharin A. (Bronchia),Airway,Basal cells,CRYM,0.367975487131401,2.60646516838379e-21
Misharin A. (Bronchia),Airway,Basal cells,TNC,0.355244771604957,1.97999979443358e-20
Misharin A. (Bronchia),Airway,Basal cells,CLCA2,0.280928976519258,5.27213604002625e-20
Misharin A. (Bronchia),Airway,Basal cells,SLC15A2,0.3187309013768,1.3768784628123e-18
Misharin A. (Bronchia),Airway,Basal cells,GALNT6,0.286903623616923,2.55889360978609e-18
Misharin A. (Bronchia),Airway,Basal cells,PTPRZ1,0.261925945139242,4.03918524611093e-18
Misharin A. (Bronchia),Airway,Basal cells,STXBP6,0.329525193090938,1.15881853208363e-17
Misharin A. (Bronchia),Airway,Basal cells,PCNT,-0.207465873700555,1.04152913989071e-15
Misharin A. (Bronchia),Airway,Basal cells,MMP10,-0.285681205868331,1.1203091989243e-15
Misharin A. (Bronchia),Airway,Basal cells,TIMP3,-0.290800704119608,1.38592327854221e-15
Misharin A. (Bronchia),Airway,Basal cells,IGFBP6,-0.339752543218339,3.54292151940118e-15
Misharin A. (Bronchia),Airway,Basal cells,TMEM213,0.293382404796355,6.48620719873082e-15
Misharin A. (Bronchia),Airway,Basal cells,CALD1,-0.208406057842616,1.08315902222256e-14
Misharin A. (Bronchia),Airway,Basal cells,FGFR1,-0.213519087298103,3.77923973277961e-14
Misharin A. (Bronchia),Airway,Basal cells,PHLDA2,-0.206937884457399,7.81203666966136e-14
Misharin A. (Bronchia),Airway,Basal cells,SOX9,-0.210910997140677,1.26520754335174e-12
