Dataset,Tissue,Cell Type,GENE,log2FC,P Value
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells,ADM,-2.97726801525468,0.0
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells,ALDH3A1,2.1019007789066,0.0
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells,ANKH,1.6584504769235,0.0
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells,ANKRD37,-7.44913580736593,0.0
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells,ATP1B3,2.62047393373725,0.0
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells,C15orf48,-2.83493036959291,0.0
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells,COL17A1,1.98596149386419,0.0
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells,CSTB,-6.38442373057129,0.0
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells,CXCL14,4.04154762462256,0.0
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells,DST,3.29745678748697,0.0
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells,EGR3,1.58243323401822,0.0
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells,ERO1A,-4.33948691732734,0.0
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells,FGFBP1,2.52321890376076,0.0
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells,FTH1,-3.66527281336214,0.0
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells,GDF15,-3.56112361142307,0.0
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells,HES1,1.62071127315846,0.0
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells,HILPDA,-5.95796598375396,0.0
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells,IFI27,2.15877559715861,0.0
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells,IFI6,1.96201122691877,0.0
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells,IFITM3,1.81461115597701,0.0
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells,IGFBP3,-7.64507513872983,0.0
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells,IGFBP5,-6.11163453155007,0.0
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells,IGFBP6,3.87449896765109,0.0
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells,ISG15,2.189456045854,0.0
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells,KRT13,-2.97803314988619,0.0
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells,KRT14,8.83969526923883,0.0
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells,KRT15,3.01749981979304,0.0
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells,KRT16,-6.46389805788577,0.0
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells,KRT5,5.1162532443266,0.0
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells,LDHA,-6.45559822468771,0.0
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells,LGALS7B,2.23050119587156,0.0
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells,MT1E,1.57420032861657,0.0
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells,MT1X,-9.3181302829844,0.0
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells,MXD1,-2.82699178379936,0.0
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells,NDRG1,-6.76615915003705,0.0
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells,NUPR1,-3.60757392364637,0.0
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells,ODC1,1.78388414649888,0.0
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells,PTHLH,-3.07246213115657,0.0
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells,RBBP8,1.58231544484862,0.0
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells,S100A2,3.24685968411641,0.0
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells,S100P,-6.9549970985063,0.0
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells,SLC2A1,-4.40133744993587,0.0
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells,SLC6A8,-3.89823209931323,0.0
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells,SPRR1B,-3.45791585632138,0.0
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells,TP63,1.56833019176452,0.0
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells,TSLP,1.60359383887134,0.0
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells,SCGB1A1,-3.71669034514492,2.01911482938832e-272
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells,LGALS1,-2.83641657196866,8.18096775081338e-265
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells(proliferating),GAPDH,-5.57605518972756,1.81262593924068e-158
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells(proliferating),NDUFA4L2,-7.13803057220788,8.28063613746981e-142
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells(proliferating),NDRG1,-7.38440976717399,1.97079387589891e-131
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells(proliferating),LDHA,-6.68569714709238,1.03301732258867e-116
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells(proliferating),IGFBP3,-7.88372113344123,2.85863921684802e-112
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells(proliferating),MKNK2,-3.97308172734236,4.21582185422021e-111
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells(proliferating),SLC2A1,-3.0152676459503,6.74804539978912e-103
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells(proliferating),CA9,-4.58772065719981,5.42175784915591e-92
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells(proliferating),P4HA1,-3.39170228370135,1.04546612432978e-88
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells(proliferating),LGALS1,-14.9954904832375,3.56029114622393e-78
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells(proliferating),HILPDA,-4.42841436441417,2.17948833273639e-77
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells(proliferating),MT1X,-9.4436686104464,3.91352781956737e-77
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells(proliferating),BNIP3,-3.01615358419357,1.10478108236106e-70
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells(proliferating),GPI,-3.01052609145434,8.29557335800823e-70
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells(proliferating),DDIT4,-2.95025048425699,2.30260378526239e-63
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells(proliferating),TIMP3,-2.96780611979908,2.41599260385791e-62
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells(proliferating),SERPINE1,-3.90053369870783,1.22972695075863e-42
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells(proliferating),ATP1B3,1.70789416866616,9.02973821454596e-41
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells(proliferating),PCNA,2.3102090054618,1.64150291608642e-35
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells(proliferating),FGFBP1,2.29497402792101,4.04665314659431e-33
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells(proliferating),IFI6,1.81505421021954,4.91344866348756e-31
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells(proliferating),KRT5,3.38217746967531,1.42267026637124e-30
Ravindra NG. (Bronchial epithelial cells),Airway,Basal cells(proliferating),PTTG1,-5.08150721063102,4.07974441580258e-21
