Dataset,Tissue,Cell Type,GENE,log2FC,P Value
Scott MK. (PBMC),Blood,B cells,IFITM3,7.96050884286732,2.208761220013e-11
Scott MK. (PBMC),Blood,B cells,HLA-DRB5,-1.49141679829016,3.34951334837753e-07
Scott MK. (PBMC),Blood,B cells,CD40,2.32644987941063,3.80198414329238e-07
Scott MK. (PBMC),Blood,B cells,IFI27,9.57847009089216,4.84490964766497e-07
Scott MK. (PBMC),Blood,B cells,LILRB1,2.61355783371501,5.65372813447719e-06
Scott MK. (PBMC),Blood,B cells,FTH1,2.0360704349375,4.22586063669286e-05
Scott MK. (PBMC),Blood,B cells,TMEM176B,-2.3736557691509,0.000179802490049989
Scott MK. (PBMC),Blood,B cells,AFF3,-1.13829583128094,0.000535811483943956
Scott MK. (PBMC),Blood,B cells,LINC00926,4.98584722023464,0.000552610096977333
Scott MK. (PBMC),Blood,B cells,RAB30,1.99181801600281,0.000741008971586473
Scott MK. (PBMC),Blood,B cells,G0S2,11.4002253603999,0.000769452777488876
Scott MK. (PBMC),Blood,B cells,S100A8,1.88627180274922,0.00185830005097221
Scott MK. (PBMC),Blood,B cells,OTOF,2.22506481690123,0.00335188696284996
Scott MK. (PBMC),Blood,B cells,BACE2,3.04977962752867,0.00343091868228652
Scott MK. (PBMC),Blood,B cells,IGLC3,8.86412163529361,0.0037010757674628
Scott MK. (PBMC),Blood,B cells,TMEM176A,-1.33656385384386,0.00495184298569756
Scott MK. (PBMC),Blood,B cells,FTL,2.47610512629677,0.00536850799411449
Scott MK. (PBMC),Blood,B cells,NEAT1,2.36894734550068,0.00572164519108707
Scott MK. (PBMC),Blood,B cells,IL4R,2.44216045815832,0.00634488709438209
Scott MK. (PBMC),Blood,B cells,COL19A1,3.30014410685262,0.00662505357353225
Scott MK. (PBMC),Blood,B cells,APOBEC3A,3.2516791251913,0.00841154465270442
Scott MK. (PBMC),Blood,B cells,NFKBIA,2.11854112683459,0.0087712986653591
Scott MK. (PBMC),Blood,B cells,COBLL1,1.85643299581673,0.0108693762443663
Scott MK. (PBMC),Blood,B cells,HLA-DQA2,-1.92155106906978,0.0133219158040864
Scott MK. (PBMC),Blood,B cells,CSF1R,-1.41243584434507,0.0163804652940264
Scott MK. (PBMC),Blood,B cells,LYN,-1.46445313269292,0.0177907278403372
Scott MK. (PBMC),Blood,B cells,FCN1,2.59604409772775,0.0219108805321178
Scott MK. (PBMC),Blood,B cells,HLA-DPA1,-1.58719261277089,0.0233529892210898
Scott MK. (PBMC),Blood,B cells,HLA-DRB1,1.9123172248684,0.0241619766442031
Scott MK. (PBMC),Blood,B cells,EGR1,2.39274825374845,0.0283464349708945
Scott MK. (PBMC),Blood,B cells,FFAR2,2.64666837773289,0.0307879337188158
Scott MK. (PBMC),Blood,B cells,HSPB1,-1.09070286699841,0.0309743851458701
Scott MK. (PBMC),Blood,B cells,FAM30A,-1.91819474928944,0.0387074773104689
Scott MK. (PBMC),Blood,B cells,MARCKS,1.92623880464456,0.0396234090111438
Scott MK. (PBMC),Blood,B cells,IGHM,7.46494836447919,0.0405215024858636
Scott MK. (PBMC),Blood,B cells,CCDC141,-1.14142309678779,0.0419541910647795
Scott MK. (PBMC),Blood,B cells,CNR2,-1.20140678437593,0.0419541910647795
Scott MK. (PBMC),Blood,B cells,FGF2,-3.88424925934348,0.0482745956066103
Scott MK. (PBMC),Blood,CD4+ T cells,IFI44L,1.62856705860312,0.0
Scott MK. (PBMC),Blood,CD4+ T cells,IGHA1,1.20500838604903,0.0
Scott MK. (PBMC),Blood,CD4+ T cells,IGKC,2.17268646595058,0.0
Scott MK. (PBMC),Blood,CD4+ T cells,IGLC2,1.4190234416002,0.0
Scott MK. (PBMC),Blood,CD4+ T cells,IGLC3,1.39404551353493,0.0
Scott MK. (PBMC),Blood,CD4+ T cells,RPL10,-0.992747816322821,0.0
Scott MK. (PBMC),Blood,CD4+ T cells,RPL13,-0.915013903809574,0.0
Scott MK. (PBMC),Blood,CD4+ T cells,RPS14,-0.986184501437691,0.0
Scott MK. (PBMC),Blood,CD4+ T cells,RPS18,-0.975221247743015,0.0
Scott MK. (PBMC),Blood,CD4+ T cells,RPS27A,-1.08394275533879,0.0
Scott MK. (PBMC),Blood,CD4+ T cells,RPS3,-0.813014204404673,0.0
Scott MK. (PBMC),Blood,CD4+ T cells,RPS3A,-0.887159598521014,0.0
Scott MK. (PBMC),Blood,CD4+ T cells,TPT1,-1.17522237923683,0.0
Scott MK. (PBMC),Blood,CD4+ T cells,XAF1,0.993889852694964,9.79729498099399e-285
Scott MK. (PBMC),Blood,CD4+ T cells,TXNIP,1.03741070798779,3.92880686928905e-232
Scott MK. (PBMC),Blood,CD4+ T cells,LY6E,0.706231927504038,3.13970240392765e-228
Scott MK. (PBMC),Blood,CD4+ T cells,ISG15,1.23828624397215,1.34545494189873e-214
Scott MK. (PBMC),Blood,CD4+ T cells,MX1,0.837419268721593,1.14465246958728e-210
Scott MK. (PBMC),Blood,CD4+ T cells,IFI6,0.835156853488391,1.8734906838557e-196
Scott MK. (PBMC),Blood,CD4+ T cells,RPLP1,-0.687547283037699,1.17040675581386e-193
Scott MK. (PBMC),Blood,CD4+ T cells,EEF1A1,-0.671698325373761,3.11579804178938e-181
Scott MK. (PBMC),Blood,CD4+ T cells,ETS1,1.08945705983858,8.04562733061183e-172
Scott MK. (PBMC),Blood,CD4+ T cells,MT-ND3,-0.494476178772052,1.04326580784382e-165
Scott MK. (PBMC),Blood,CD4+ T cells,RPS12,-0.755454070966409,1.32047436688457e-163
Scott MK. (PBMC),Blood,CD4+ T cells,RPS27,-0.733807218726851,9.61733605098826e-160
Scott MK. (PBMC),Blood,CD4+ T cells,IFIT3,0.756484557376871,1.16487388526111e-156
Scott MK. (PBMC),Blood,CD4+ T cells,RPS23,-0.480712470552779,2.14210262771085e-149
Scott MK. (PBMC),Blood,CD4+ T cells,SELL,0.762549405113413,2.24025448235479e-135
Scott MK. (PBMC),Blood,CD4+ T cells,SOCS3,1.01145745329312,3.35405835976097e-135
Scott MK. (PBMC),Blood,CD4+ T cells,IFITM1,1.00622618857215,1.11347437397332e-126
Scott MK. (PBMC),Blood,CD4+ T cells,RGCC,-0.707958225706301,2.73917306318257e-115
Scott MK. (PBMC),Blood,CD4+ T cells,RPS26,-0.770362633127904,5.95871312615974e-114
Scott MK. (PBMC),Blood,CD4+ T cells,CRIP2,-0.99092028438826,5.13112031488019e-107
