Dataset,Tissue,Cell Type,GENE,log2FC,P Value
Triana S. (Intestine),Intestine,Cycling transient amplifying cells,PHGDH,-1.58783558778023,1.63989894512512e-22
Triana S. (Intestine),Intestine,Cycling transient amplifying cells,C6orf48,-1.44536622737557,7.1803322137201e-21
Triana S. (Intestine),Intestine,Cycling transient amplifying cells,SLC7A5,-1.1756700574412,1.43520592306652e-19
Triana S. (Intestine),Intestine,Cycling transient amplifying cells,COPB1,-0.766668872587152,1.87316314900363e-19
Triana S. (Intestine),Intestine,Cycling transient amplifying cells,NUPR1,-2.09884343296375,1.91668150845683e-19
Triana S. (Intestine),Intestine,Cycling transient amplifying cells,ASNS,-1.23450177890985,4.04035889917826e-19
Triana S. (Intestine),Intestine,Cycling transient amplifying cells,ATF4,-0.898087635929102,1.86684131653098e-15
Triana S. (Intestine),Intestine,Cycling transient amplifying cells,PSAT1,-1.46931555879619,1.44562341876912e-14
Triana S. (Intestine),Intestine,Cycling transient amplifying cells,G0S2,-1.89647378526897,4.74293432779681e-12
Triana S. (Intestine),Intestine,Cycling transient amplifying cells,GARS,-0.782148456068561,5.99114318044732e-12
Triana S. (Intestine),Intestine,Cycling transient amplifying cells,MTHFD2,-1.27197619315564,8.39533222332176e-12
Triana S. (Intestine),Intestine,Cycling transient amplifying cells,LARS,-0.727462179828114,2.53833126201317e-11
Triana S. (Intestine),Intestine,Cycling transient amplifying cells,SHMT2,-0.921398016250833,7.62226341391154e-11
Triana S. (Intestine),Intestine,Cycling transient amplifying cells,ZFAS1,-0.72040281053367,8.88233267447848e-11
Triana S. (Intestine),Intestine,Cycling transient amplifying cells,IFIT1,0.708108436676188,2.11511002206105e-10
Triana S. (Intestine),Intestine,Cycling transient amplifying cells,SLC7A11,-0.917296720001024,2.63304353283555e-10
Triana S. (Intestine),Intestine,Cycling transient amplifying cells,PTMA,0.699198380682057,1.55829045494322e-09
Triana S. (Intestine),Intestine,Cycling transient amplifying cells,ATP5G1,0.680601861058753,3.22413539435068e-09
Triana S. (Intestine),Intestine,Cycling transient amplifying cells,IFIT3,0.758848921012154,2.58879770007168e-08
Triana S. (Intestine),Intestine,Cycling transient amplifying cells,BMP4,0.759235871784452,5.3730793530226e-08
Triana S. (Intestine),Intestine,Cycling transient amplifying cells,STC2,-0.873258051955437,8.84118391542596e-08
Triana S. (Intestine),Intestine,Cycling transient amplifying cells,IARS,-0.730350312705036,1.49632884329655e-07
Triana S. (Intestine),Intestine,Cycling transient amplifying cells,NAP1L1,-0.854370333137074,2.37245136050339e-07
Triana S. (Intestine),Intestine,Cycling transient amplifying cells,BNIP3,0.662563333325348,7.99417737842511e-07
Triana S. (Intestine),Intestine,Cycling transient amplifying cells,ODC1,0.955094474069848,1.32339175065676e-06
Triana S. (Intestine),Intestine,Cycling transient amplifying cells,MX1,0.79287573633871,1.34835506347951e-06
Triana S. (Intestine),Intestine,Cycling transient amplifying cells,ADH1C,-0.78130371939591,1.9800207277178e-06
Triana S. (Intestine),Intestine,Cycling transient amplifying cells,CCDC85B,0.631426236822962,5.22711379289821e-06
Triana S. (Intestine),Intestine,Cycling transient amplifying cells,HNRNPM,0.592461240282188,1.62465621970418e-05
Triana S. (Intestine),Intestine,Cycling transient amplifying cells,HIST1H4C,1.31752234834289,2.90770549082949e-05
Triana S. (Intestine),Intestine,Cycling transient amplifying cells,ZG16,1.02336779299195,3.97057164448806e-05
