Dataset,Tissue,Cell Type,GENE,log2FC,P Value
Yegnasubramanian S. (PBMC),Blood,B Cells,HLA-DRB5,4.49632825324626,0.0
Yegnasubramanian S. (PBMC),Blood,B Cells,MT-ATP8,-1.13016307658963,0.0
Yegnasubramanian S. (PBMC),Blood,B Cells,RPS4Y1,-1.54784628460143,0.0
Yegnasubramanian S. (PBMC),Blood,B Cells,TSC22D3,1.68142369512772,2.43649919515179e-218
Yegnasubramanian S. (PBMC),Blood,B Cells,YPEL5,1.51621079770019,1.11481441743571e-156
Yegnasubramanian S. (PBMC),Blood,B Cells,RPS27,-0.855029212378353,1.21983821244321e-132
Yegnasubramanian S. (PBMC),Blood,B Cells,AREG,1.87044279086355,7.13517499301398e-130
Yegnasubramanian S. (PBMC),Blood,B Cells,NFKBIA,1.15793694999561,2.7189897215023e-128
Yegnasubramanian S. (PBMC),Blood,B Cells,TXNIP,1.4211415101716,1.3451744718323e-127
Yegnasubramanian S. (PBMC),Blood,B Cells,SNX9,1.7027450530283,2.26083286844964e-124
Yegnasubramanian S. (PBMC),Blood,B Cells,ZNF331,1.55801084130106,2.40937102457851e-110
Yegnasubramanian S. (PBMC),Blood,B Cells,HLA-DPA1,-2.26673953145835,8.9110852022188e-108
Yegnasubramanian S. (PBMC),Blood,B Cells,NR4A2,1.15702758764756,9.05348567164535e-106
Yegnasubramanian S. (PBMC),Blood,B Cells,LTB,-1.06408361966574,1.07259016901346e-98
Yegnasubramanian S. (PBMC),Blood,B Cells,EZR,1.3455397710423,1.68205966299392e-98
Yegnasubramanian S. (PBMC),Blood,B Cells,CD79B,-2.18071432806676,5.50384235375431e-80
Yegnasubramanian S. (PBMC),Blood,B Cells,CD69,1.55486781482765,3.63987709100226e-79
Yegnasubramanian S. (PBMC),Blood,B Cells,TCL1A,-3.86977175239028,1.26948946713615e-74
Yegnasubramanian S. (PBMC),Blood,B Cells,MAP3K8,1.16126335346954,1.04464792213696e-68
Yegnasubramanian S. (PBMC),Blood,B Cells,PELI1,1.13900872218842,4.41434372854918e-54
Yegnasubramanian S. (PBMC),Blood,B Cells,CHI3L2,-0.797489142826799,4.46275496216761e-54
Yegnasubramanian S. (PBMC),Blood,B Cells,CD83,2.0967970182529,1.60953873107695e-50
Yegnasubramanian S. (PBMC),Blood,B Cells,STAG3,2.03038054679219,5.04552723345896e-42
Yegnasubramanian S. (PBMC),Blood,B Cells,HLA-DPB1,-1.31623836623253,6.97010169929671e-39
Yegnasubramanian S. (PBMC),Blood,B Cells,CXXC5,-0.805810093070529,5.93372697360799e-35
Yegnasubramanian S. (PBMC),Blood,B Cells,HLA-DRB1,-1.31855572599609,1.982356592494e-25
Yegnasubramanian S. (PBMC),Blood,B Cells,FCER2,-1.6834328618042,4.87044354559126e-25
Yegnasubramanian S. (PBMC),Blood,B Cells,ADAM28,1.17874465377703,4.59073490103046e-19
Yegnasubramanian S. (PBMC),Blood,B Cells,CD1C,-0.798828904031501,5.99975840404992e-19
Yegnasubramanian S. (PBMC),Blood,B Cells,CD74,1.15876945414316,6.19274377385828e-18
Yegnasubramanian S. (PBMC),Blood,B Cells,COBLL1,-0.806816352005902,3.99811827325161e-16
Yegnasubramanian S. (PBMC),Blood,B Cells,CD79A,-1.86127556870259,9.8246011333343e-16
Yegnasubramanian S. (PBMC),Blood,B Cells,LINC01857,-1.22756492269685,1.50523417234825e-15
Yegnasubramanian S. (PBMC),Blood,B Cells,MS4A1,-1.73116724594916,1.98164431583687e-14
Yegnasubramanian S. (PBMC),Blood,B Cells,LINC00926,1.1411628932845,2.39778334600885e-14
Yegnasubramanian S. (PBMC),Blood,B Cells,IGKV3-20,1.51315720249096,5.23392454310757e-12
Yegnasubramanian S. (PBMC),Blood,B Cells,HLA-DQA1,-0.905458824463668,7.0025005387871e-11
Yegnasubramanian S. (PBMC),Blood,B Cells,IGHD,-0.819461634871931,7.60987030193529e-09
Yegnasubramanian S. (PBMC),Blood,CD1C CD141 dendritic cells,XIST,2.08359510559152,1.86460621068439e-233
Yegnasubramanian S. (PBMC),Blood,CD1C CD141 dendritic cells,HLA-DRB5,2.82430231842186,4.49330627417438e-162
Yegnasubramanian S. (PBMC),Blood,CD1C CD141 dendritic cells,SMIM25,-6.16791631489559,7.9454626354858e-104
Yegnasubramanian S. (PBMC),Blood,CD1C CD141 dendritic cells,RHOB,-3.02870442928394,2.3757837529162e-96
Yegnasubramanian S. (PBMC),Blood,CD1C CD141 dendritic cells,THBS1,4.6262653991664,3.34220986363146e-91
Yegnasubramanian S. (PBMC),Blood,CD1C CD141 dendritic cells,HSPA1B,-4.02441107102325,5.38011031588684e-90
Yegnasubramanian S. (PBMC),Blood,CD1C CD141 dendritic cells,TMEM176B,-1.73145634495529,3.1613093843064e-81
Yegnasubramanian S. (PBMC),Blood,CD1C CD141 dendritic cells,JUN,-1.1211240542538,9.65263355781888e-81
Yegnasubramanian S. (PBMC),Blood,CD1C CD141 dendritic cells,EREG,3.94933370013746,6.17173552320034e-65
Yegnasubramanian S. (PBMC),Blood,CD1C CD141 dendritic cells,RNF144B,2.74164043536059,1.16017064985573e-64
Yegnasubramanian S. (PBMC),Blood,CD1C CD141 dendritic cells,SAT1,-3.49224234081174,1.67489783103632e-62
Yegnasubramanian S. (PBMC),Blood,CD1C CD141 dendritic cells,FOS,-1.24805034732976,4.64239577446912e-60
Yegnasubramanian S. (PBMC),Blood,CD1C CD141 dendritic cells,ACSL1,2.02053323234199,9.1723055861106e-60
Yegnasubramanian S. (PBMC),Blood,CD1C CD141 dendritic cells,FAM110A,-2.15849345509924,1.52679313943663e-57
Yegnasubramanian S. (PBMC),Blood,CD1C CD141 dendritic cells,HES4,2.59855148849539,6.57977950278873e-55
Yegnasubramanian S. (PBMC),Blood,CD1C CD141 dendritic cells,CDKN1A,1.66776050234593,5.86612040207345e-54
Yegnasubramanian S. (PBMC),Blood,CD1C CD141 dendritic cells,CYP1B1,1.49598070971937,6.46333251034931e-52
Yegnasubramanian S. (PBMC),Blood,CD1C CD141 dendritic cells,SERPINB2,2.19710819615509,3.91755171702757e-50
Yegnasubramanian S. (PBMC),Blood,CD1C CD141 dendritic cells,NLRP3,2.26167554289227,8.98897466438319e-50
Yegnasubramanian S. (PBMC),Blood,CD1C CD141 dendritic cells,IFI30,1.87555940904859,3.66010622266324e-48
Yegnasubramanian S. (PBMC),Blood,CD1C CD141 dendritic cells,IFITM3,2.96752935003341,4.15884301293528e-46
Yegnasubramanian S. (PBMC),Blood,CD1C CD141 dendritic cells,LILRB1,1.54355449848021,4.79476164770639e-46
Yegnasubramanian S. (PBMC),Blood,CD1C CD141 dendritic cells,LYPD2,-7.12046135458316,2.35733785091644e-45
Yegnasubramanian S. (PBMC),Blood,CD1C CD141 dendritic cells,IL3RA,2.31662098898479,5.62387013375469e-41
Yegnasubramanian S. (PBMC),Blood,CD1C CD141 dendritic cells,PLAUR,2.09733520825901,5.77045202810725e-41
Yegnasubramanian S. (PBMC),Blood,CD1C CD141 dendritic cells,IFI27,2.78490218912359,1.70089453453208e-38
Yegnasubramanian S. (PBMC),Blood,CD1C CD141 dendritic cells,RGS2,-0.96902865431069,5.7421144659128e-38
Yegnasubramanian S. (PBMC),Blood,CD1C CD141 dendritic cells,CXCL2,2.35503514643554,3.97276755555007e-36
Yegnasubramanian S. (PBMC),Blood,CD1C CD141 dendritic cells,IL1B,3.14841991885408,5.8165579132687e-36
Yegnasubramanian S. (PBMC),Blood,CD1C CD141 dendritic cells,CST3,-3.12636123747761,1.129596460649e-35
Yegnasubramanian S. (PBMC),Blood,CD1C CD141 dendritic cells,ZFP36,-0.884614358499535,1.48820950605493e-35
Yegnasubramanian S. (PBMC),Blood,CD1C CD141 dendritic cells,TYROBP,-1.92222168662178,1.1230283536557e-33
Yegnasubramanian S. (PBMC),Blood,CD1C CD141 dendritic cells,DUSP6,-1.47933066028189,1.13262019150528e-33
Yegnasubramanian S. (PBMC),Blood,CD1C CD141 dendritic cells,SLC11A1,1.5351205791546,5.29953678139049e-33
Yegnasubramanian S. (PBMC),Blood,CD1C CD141 dendritic cells,LST1,-2.79951661585365,6.74789061296489e-33
Yegnasubramanian S. (PBMC),Blood,CD1C CD141 dendritic cells,HBB,5.83107217751867,1.00552398355725e-32
Yegnasubramanian S. (PBMC),Blood,CD1C CD141 dendritic cells,TMEM176A,-0.817929170687177,8.01138730898879e-32
Yegnasubramanian S. (PBMC),Blood,CD1C CD141 dendritic cells,CRIP1,-0.84150369269955,2.73232368836836e-29
Yegnasubramanian S. (PBMC),Blood,CD1C CD141 dendritic cells,CYP4F22,1.7713692416235,5.06442852701771e-28
Yegnasubramanian S. (PBMC),Blood,CD1C CD141 dendritic cells,ABCA1,1.7375768046894,9.07442129335343e-28
Yegnasubramanian S. (PBMC),Blood,CD1C CD141 dendritic cells,NEAT1,1.90508179370665,9.76272542077203e-28
Yegnasubramanian S. (PBMC),Blood,CD1C CD141 dendritic cells,S100A9,1.92846637968973,1.25708895572373e-27
Yegnasubramanian S. (PBMC),Blood,CD1C CD141 dendritic cells,CALHM6,-1.26573289217043,2.81708375664914e-27
Yegnasubramanian S. (PBMC),Blood,CD1C CD141 dendritic cells,FCGR3A,-1.62976768508473,7.23753301963298e-27
Yegnasubramanian S. (PBMC),Blood,CD1C CD141 dendritic cells,TIMP1,-1.35329044336488,7.47718636397773e-27
Yegnasubramanian S. (PBMC),Blood,CD1C CD141 dendritic cells,CXCL8,1.50535643947824,5.70989659648284e-26
Yegnasubramanian S. (PBMC),Blood,CD1C CD141 dendritic cells,HSPA1A,-1.85737880434933,4.12580201631526e-25
Yegnasubramanian S. (PBMC),Blood,CD1C CD141 dendritic cells,LUCAT1,1.45334562290915,3.14198160184876e-24
